Word,Prefix1,Prefix2,Root,Wordlength,Frequency
surenchère,sur,en,chère,10,0.65
redecouvre,re,de,couvre,10,
redéfaire,re,dé,faire,9,
imprévu,im,pré,vu,7,5.66
