first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
minépsaijtaoin,minépsaijtaoin,pprss,saij,mi_rép,ta_oin,mirépsaijtaoin,control,p,1.0,0,r,n,minépsaijtaoin,2,14
untrévade,entrévade,prs,trév,en,ade,entrévade,target,p,0.0,0,e,u,untrévade,3,9
noureur,noereur,rs,nour,,eur,noureur,target,r,,2,u,e,noereur,1,7
édtreclasitioin,édtreclasitioin,prssss,trec,éd,la_si_ta_oin,édtreclasitaoin,control,s,2.0,1,a,i,édtreclasitioin,2,15
fodlasivaoin,fodlasivaoin,rssss,fod,,la_si_ta_oin,fodlasitaoin,control,s,2.0,0,t,v,fodlasivaoin,2,12
raig,raig,r,reig,,,reig,control,r,,1,e,a,raig,2,4
niloudalbenemt,jiloudalbenemt,prss,loud,ni,albe_nemt,niloudalbenemt,control,p,0.0,0,n,j,jiloudalbenemt,1,14
mitrec,miprec,pr,trec,mi,,mitrec,control,r,,0,t,p,miprec,1,6
foirorisatuon,foirorisation,rsss,foir,,or_isat_ion,foirorisation,target,s,2.0,0,i,u,foirorisatuon,3,13
rikaudinment,rikaudinment,prs_long,kaudin,re,ment,rekaudinment,target,p,0.0,1,e,i,rikaudinment,2,12
innièritésimal,innièritésimal,prsss,nièr,in,ité_sim_al,innièritésimal,target,r,,0,n,r,inrièritésimal,0,14
irinterjaun,ininterjaun,ppr,jaun,in_inter,,ininterjaun,target,p,0.0,1,n,r,irinterjaun,3,11
surentertment,surentertment,pprs,tert,sur_en,ment,surentertment,target,r,,0,t,h,surenhertment,0,13
zulitesable,zulitesable,rs_long,zulites,,able,zulitesable,target,s,0.0,2,l,n,zulitesabne,0,11
tuélaliment,tuélaliment,rss,tuél,,ale_ment,tuélalement,target,s,0.0,2,e,i,tuélaliment,2,11
comtrechévaul,contrechévaul,pr_long,chévaul,contre,,contrechévaul,target,p,0.0,2,n,m,comtrechévaul,3,13
daukin,daukin,r_long,daukin,,,daukin,control,r,,1,a,u,duukin,0,6
tracalbe,trocalbe,rs,troc,,albe,trocalbe,control,r,,2,o,a,tracalbe,3,8
mélinnule,mélinnule,rss,mél,,inno_le,mélinnole,control,s,0.0,3,o,u,mélinnule,2,9
inciotitésimal,inciotitésimal,prsss,diot,in,ité_sim_al,indiotitésimal,target,r,,0,d,c,inciotitésimal,2,14
senoutique,senoutique,rs_long,cenout,,ique,cenoutique,target,r,,0,c,s,senoutique,2,10
imcrécamation,imprécamation,pprss,cam,im_pré,at_ion,imprécamation,target,p,1.0,0,p,c,imcrécamation,3,13
trectaoinlaisem,trectaoinlaisem,rssss,trec,,ta_oin_la_isem,trectaoinlaisem,control,s,0.0,1,a,i,trectioinlaisem,0,15
ircomcrusable,ircomcrusable,pprs,crus,in_com,able,incomcrusable,target,p,0.0,1,n,r,ircomcrusable,2,13
imfoir,umfoir,pr,foir,im,,imfoir,target,p,0.0,0,i,u,umfoir,1,6
erédrum,erédruj,ppr,ruj,er_éd,,erédruj,control,r,,2,j,m,erédrum,3,7
rujfiequinemt,rurfiequinemt,rsss,ruj,,fi_equi_nemt,rujfiequinemt,control,r,,2,j,r,rurfiequinemt,1,13
indicablemelt,indicablemelt,prss,dic,in,able_ment,indicablement,target,s,1.0,2,n,l,indicablemelt,2,13
erlofautnemd,erlofautnemt,prs_long,lofaut,er,nemt,erlofautnemt,control,s,0.0,3,t,d,erlofautnemd,3,12
nonkieutel,nenkieutel,pr_long,kieutel,non,,nonkieutel,target,p,0.0,1,o,e,nenkieutel,1,10
