first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
trév,trés,r,trév,,,trév,target,r,,3,v,s,trés,1,4
imprédiration,impnédiration,pprss,dir,im_pré,at_ion,imprédiration,target,p,1.0,1,r,n,impnédiration,1,13
russaijtaoin,russaijtaoin,prss,saij,rus,ta_oin,russaijtaoin,control,r,,0,s,t,rustaijtaoin,0,12
endir,endir,pr,dir,en,,endir,target,r,,0,d,t,entir,0,5
impréjaunion,impréjaunion,pprs,jaun,im_pré,ion,impréjaunion,target,r,,0,j,n,imprénaunion,0,12
édméloin,édyéloin,prs,mél,éd,oin,édméloin,control,r,,0,m,y,édyéloin,1,8
troniste,vroniste,rs,tron,,iste,troniste,target,r,,0,t,v,vroniste,1,8
incomquorable,incomqiorable,pprs,quor,in_com,able,incomquorable,target,r,,1,u,i,incomqiorable,1,13
trencopelm,tnencopelm,pr,pelm,trenco,,trencopelm,control,p,0.0,1,r,n,tnencopelm,1,10
surjaunation,surjaunation,prss,jaun,sur,at_ion,surjaunation,target,r,,2,u,e,surjaenation,0,12
saijta,sairta,rs,saij,,ta,saijta,control,r,,3,j,r,sairta,1,6
tronat,tronat,rs,tron,,at,tronat,target,s,0.0,0,a,i,tronit,0,6
édtroctan,édtroccan,prs,troc,éd,tan,édtroctan,control,s,0.0,0,t,c,édtroccan,1,9
désenclôter,désenclôter,pprs,clôt,dés_en,er,désenclôter,target,r,,2,ô,i,désencliter,0,11
giereusement,giereusement,rss,gier,,euse_ment,giereusement,target,s,1.0,1,e,ê,giereusemênt,0,12
naujeist,néujeist,rs,nauj,,eist,naujeist,control,r,,1,a,é,néujeist,1,8
dédofationalisme,dédofationalisme,prssss,dof,dé,at_ion_al_isme,dédofationalisme,target,s,3.0,3,e,i,dédofationalismi,0,16
roif,roif,r,roif,,,roif,control,r,,0,r,n,noif,0,4
nitioctiémisla,nitioctiémisla,prsss,tioc,ni,tié_mis_la,nitioctiémisla,control,p,0.0,1,i,e,netioctiémisla,0,14
resalitation,resalitation,prsss,sal,re,it_at_ion,resalitation,target,r,,1,a,o,resolitation,0,12
édnaujeru,édnaujeru,prs,nauj,éd,eru,édnaujeru,control,r,,1,a,é,édnéujeru,0,9
fodnatiasoin,fodnatiasoin,rsss,fod,,na_tias_oin,fodnatiasoin,control,s,0.0,1,a,o,fodnotiasoin,0,12
onntounec,onntounec,pr_long,tounec,onn,,onntounec,control,p,0.0,2,n,m,onmtounec,0,9
cenout,cenout,r_long,cenout,,,cenout,target,r,,3,o,u,cenuut,0,6
limtulauvéchle,limtulauvéchlu,prs_long,lauvéch,limtu,le,limtulauvéchle,control,s,0.0,1,e,u,limtulauvéchlu,1,14
imprénièr,imprémièr,ppr,nièr,im_pré,,imprénièr,target,r,,0,n,m,imprémièr,1,9
détronationalisme,qétronationalisme,prssss,tron,dé,at_ion_al_isme,détronationalisme,target,p,0.0,0,d,q,qétronationalisme,1,17
édtioctaoinlaisem,édtioctaoinlaisem,prssss,tioc,éd,ta_oin_la_isem,édtioctaoinlaisem,control,r,,1,i,a,édtaoctaoinlaisem,0,17
gauntirequi,gauntirequi,rs_long,gauntir,,equi,gauntirequi,control,s,0.0,0,e,u,gauntiruqui,0,11
enfil,enfil,pr,fil,en,,enfil,target,r,,2,l,n,enfin,0,5
édnorttaoinlaisem,édnorttaoinlaisem,prssss,nort,éd,ta_oin_la_isem,édnorttaoinlaisem,control,r,,2,r,m,édnomttaoinlaisem,0,17
