first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
uniclôtionen,uniclôtionel,prss,clôt,uni,ion_el,uniclôtionel,target,s,1.0,1,l,n,uniclôtionen,3,12
giareusement,giereusement,rss,gier,,euse_ment,giereusement,target,r,,2,e,a,giareusement,3,12
jaunalisation,jaunalisotion,rssss,jaun,,al_is_at_ion,jaunalisation,target,s,2.0,0,a,o,jaunalisotion,1,13
cisequi,cisequi,rs,cid,,equi,cidequi,control,r,,2,d,s,cisequi,2,7
tletnatiasoin,tretnatiasoin,rsss,tret,,na_tias_oin,tretnatiasoin,control,r,,1,r,l,tletnatiasoin,3,13
sédnevértre,sédnevurtre,pprs,vért,séd_ne,re,sédnevértre,control,r,,1,é,u,sédnevurtre,1,11
prosiot,prosiot,pr,diot,pro,,prodiot,target,r,,0,d,s,prosiot,2,7
fod,fod,r,fod,,,fod,control,r,,2,d,p,fop,0,3
édlanslasitaoin,édlanslasitaoin,prssss,lans,éd,la_si_ta_oin,édlanslasitaoin,control,p,0.0,1,d,t,étlanslasitaoin,0,15
soutaufol,soutaufol,pr_long,taufol,sou,,soutaufol,target,r,,1,a,e,souteufol,0,9
tpocél,spocél,r_long,spocél,,,spocél,control,r,,0,s,t,tpocél,3,6
nitoidsiteqainemt,nitoidsitequinemt,prsss,toid,ni,sit_equi_nemt,nitoidsitequinemt,control,s,1.0,2,u,a,nitoidsiteqainemt,3,17
infilaire,infimaire,prs,fil,in,aire,infilaire,target,r,,2,l,m,infimaire,1,9
tienoubequi,tienoubequi,rs_long,tienoub,,equi,tienoubequi,control,s,0.0,1,q,t,tienoubetui,0,11
udlèrcomeist,udlèrcomeist,prs_long,lèrcom,éd,eist,édlèrcomeist,control,p,0.0,0,é,u,udlèrcomeist,2,12
miréplastaoin,mirépnastaoin,pprss,las,mi_rép,ta_oin,miréplastaoin,control,r,,0,l,n,mirépnastaoin,1,13
imprénour,imprénour,ppr,nour,im_pré,,imprénour,target,p,1.0,2,é,e,imprenour,0,9
opuleutiek,osuleutiek,pr_long,leutiek,osu,,osuleutiek,control,p,0.0,1,s,p,opuleutiek,3,10
enjaunade,enjaunate,prs,jaun,en,ade,enjaunade,target,s,0.0,1,d,t,enjaunate,1,9
saij,gaij,r,saij,,,saij,control,r,,0,s,g,gaij,1,4
nimoctoidatle,nimoctoidable,pprs,toid,ni_moc,able,nimoctoidable,control,s,0.0,1,b,t,nimoctoidatle,3,13
miércreig,miércreig,ppr,reig,mi_érp,,miérpreig,control,p,1.0,2,p,c,miércreig,2,9
miloudnetié,miloudnetié,prss,loud,mi,le_tié,miloudletié,control,s,0.0,0,l,n,miloudnetié,2,11
kausin,kausin,r_long,kaudin,,,kaudin,target,r,,3,d,s,kausin,2,6
roquoin,roquoin,rs,roqu,,oin,roquoin,control,r,,3,u,e,roqeoin,0,7
