first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
liflasitaoin,liflasitaoin,rssss,lif,,la_si_ta_oin,liflasitaoin,control,r,,0,l,m,miflasitaoin,0,12
mitrocletié,misrocletié,prss,troc,mi,le_tié,mitrocletié,control,r,,0,t,s,misrocletié,1,11
édtrectaoinlaisem,édtrectaoinlaisem,prssss,trec,éd,ta_oin_la_isem,édtrectaoinlaisem,control,s,3.0,0,i,u,édtrectaoinlausem,0,17
nitoidalbitié,nitoidalbitié,prss,toid,ni,albi_tié,nitoidalbitié,control,p,0.0,1,i,e,netoidalbitié,0,13
lansnet,ransnet,rs,lans,,net,lansnet,control,r,,0,l,r,ransnet,1,7
toulig,taulig,r_long,toulig,,,toulig,control,r,,1,o,a,taulig,1,6
nitoidsitequinemt,nitoissitequinemt,prsss,toid,ni,sit_equi_nemt,nitoidsitequinemt,control,r,,3,d,s,nitoissitequinemt,1,17
bulant,bulant,rs,bul,,ant,bulant,target,r,,2,l,m,bumant,0,6
codir,hodir,pr,dir,co,,codir,target,p,0.0,0,c,h,hodir,1,5
malerbail,malerbail,pr_long,erbail,mal,,malerbail,target,r,,5,l,m,malerbaim,0,9
lasroilaeist,lasroilaeist,rsss,las,,ro_ila_eist,lasroilaeist,control,s,2.0,1,i,o,lasroilaeost,0,12
rierreigalbe,rierreigalbe,pprs,reig,ri_er,albe,rierreigalbe,control,r,,1,e,u,rierruigalbe,0,12
nièralisation,nioralisation,rssss,nièr,,al_is_at_ion,nièralisation,target,r,,2,è,o,nioralisation,1,13
deucham,deucham,r_long,deucham,,,deucham,control,r,,2,u,e,deecham,0,7
répletizus,répletizus,pr_long,letizus,rép,,répletizus,control,p,0.0,0,r,l,lépletizus,0,10
roqu,requ,r,roqu,,,roqu,control,r,,1,o,e,requ,1,4
endioteur,endioteur,prs,diot,en,eur,endioteur,target,p,0.0,1,n,m,emdioteur,0,9
ininterfoir,iminterfoir,ppr,foir,in_inter,,ininterfoir,target,p,0.0,1,n,m,iminterfoir,1,11
impréjur,impréjur,ppr,jur,im_pré,,impréjur,target,p,1.0,0,p,h,imhréjur,0,8
ensalade,ensalade,prs,sal,en,ade,ensalade,target,r,,0,s,q,enqalade,0,8
leutieknemt,leutieknent,rs_long,leutiek,,nemt,leutieknemt,control,s,0.0,2,m,n,leutieknent,1,11
erlubtitaoin,erlubtitaoin,prsss,lub,er,ti_ta_oin,erlubtitaoin,control,r,,0,l,r,errubtitaoin,0,12
retuélitation,retuélitation,prsss,tuél,re,it_at_ion,retuélitation,target,s,1.0,1,t,c,retuélitacion,0,13
nirenticid,nirenticid,ppr,cid,ni_renti,,nirenticid,control,p,0.0,1,i,e,nerenticid,0,10
imprétuélation,amprétuélation,pprss,tuél,im_pré,at_ion,imprétuélation,target,p,0.0,0,i,a,amprétuélation,1,14
impréjaunation,impréjaenation,pprss,jaun,im_pré,at_ion,impréjaunation,target,r,,2,u,e,impréjaenation,1,14
impréclôt,impréclôt,ppr,clôt,im_pré,,impréclôt,target,p,1.0,1,r,m,impméclôt,0,9
édcidlasitaoin,édcidlasitaoin,prssss,cid,éd,la_si_ta_oin,édcidlasitaoin,control,p,0.0,1,d,c,éccidlasitaoin,0,14
luboinelelnemt,luboinelelnemt,rsss,lub,,oin_elel_nemt,luboinelelnemt,control,s,2.0,0,n,w,luboinelelwemt,0,14
nelanseru,nelanseru,prs,lans,ne,eru,nelanseru,control,r,,3,s,t,nelanteru,0,9
tôlclasitaoin,tôlhlasitaoin,rssss,tôlc,,la_si_ta_oin,tôlclasitaoin,control,r,,3,c,h,tôlhlasitaoin,1,13
imprécrusation,impréfrusation,pprss,crus,im_pré,at_ion,imprécrusation,target,r,,0,c,f,impréfrusation,1,14
irrecoitable,irrocoitable,pprs,coit,ir_re,able,irrecoitable,target,p,1.0,1,e,o,irrocoitable,1,12
dédirationalisme,dédirationalisme,prssss,dir,dé,at_ion_al_isme,dédirationalisme,target,r,,2,r,l,dédilationalisme,0,16
mirépméltaoin,mirépméltaoin,pprss,mél,mi_rép,ta_oin,mirépméltaoin,control,r,,1,é,o,mirépmoltaoin,0,13
miréplanstaoin,liréplanstaoin,pprss,lans,mi_rép,ta_oin,miréplanstaoin,control,p,0.0,0,m,l,liréplanstaoin,1,14
niloudtiémisla,niloudtiémisla,prsss,loud,ni,tié_mis_la,niloudtiémisla,control,p,0.0,0,n,r,riloudtiémisla,0,14
lauvéchalbe,laucéchalbe,rs_long,lauvéch,,albe,lauvéchalbe,control,r,,3,v,c,laucéchalbe,1,11
plemairement,plemairiment,rss,plem,,aire_ment,plemairement,target,s,0.0,3,e,i,plemairiment,1,12
mirépsaijtaoin,mirépsaijtaoin,pprss,saij,mi_rép,ta_oin,mirépsaijtaoin,control,s,1.0,2,n,r,mirépsaijtaoir,0,14
ercidtiéoin,ercidtiéoin,prss,cid,er,tié_oin,ercidtiéoin,control,p,0.0,1,r,n,encidtiéoin,0,11
prékieutel,prékieutel,pr_long,kieutel,pré,,prékieutel,target,p,0.0,0,p,t,trékieutel,0,10
naujtaoinlaisem,naujtaoinlaicem,rssss,nauj,,ta_oin_la_isem,naujtaoinlaisem,control,s,3.0,1,s,c,naujtaoinlaicem,1,15
snalionellement,snalionellement,rsss,snal,,ion_elle_ment,snalionellement,target,r,,2,a,o,snolionellement,0,15
rediotitéion,rediotitéion,prss,diot,re,ité_ion,rediotitéion,target,p,0.0,0,r,l,lediotitéion,0,12
décoitalisation,décoitalisation,prssss,coit,dé,al_is_at_ion,décoitalisation,target,r,,3,t,v,décoivalisation,0,15
dic,dic,r,dic,,,dic,target,r,,0,d,s,sic,0,3
oclub,oglub,pr,lub,oc,,oclub,control,p,0.0,1,c,g,oglub,1,5
désenquorer,désenquoror,pprs,quor,dés_en,er,désenquorer,target,s,0.0,0,e,o,désenquoror,1,11
intertabilité,intertabilité,prss,tert,in,abil_ité,intertabilité,target,r,,1,e,i,intirtabilité,0,13
édrounlasitaoin,édroullasitaoin,prssss,roun,éd,la_si_ta_oin,édrounlasitaoin,control,r,,3,n,l,édroullasitaoin,1,15
lamnoutros,lamnoutros,pr_long,noutros,lam,,lamnoutros,control,p,0.0,1,a,u,lumnoutros,0,10
sauvertment,sauvertment,rs_long,sauvert,,ment,sauvertment,target,r,,4,e,u,sauvurtment,0,11
sédnelubre,sédnelebre,pprs,lub,séd_ne,re,sédnelubre,control,r,,1,u,e,sédnelebre,1,10
tertalement,tertalenent,rss,tert,,ale_ment,tertalement,target,s,1.0,0,m,n,tertalenent,1,11
