first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
indoul,indoul,pr,doul,in,,indoul,target,p,0.0,1,n,j,ijdoul,0,6
imprédir,imprédin,ppr,dir,im_pré,,imprédir,target,r,,2,r,n,imprédin,1,8
ruj,ruj,r,ruj,,,ruj,control,r,,1,u,é,réj,0,3
crus,crus,r,crus,,,crus,target,r,,0,c,s,srus,0,4
adnièr,adnièr,pr,nièr,ad,,adnièr,target,p,0.0,0,a,e,ednièr,0,6
nitain,nitain,pr,tain,ni,,nitain,control,p,0.0,1,i,a,natain,0,6
redicage,ledicage,prs,dic,re,age,redicage,target,p,0.0,0,r,l,ledicage,1,8
surappour,surappoun,pr_long,appour,sur,,surappour,target,r,,5,r,n,surappoun,1,9
détuélalisation,vétuélalisation,prssss,tuél,dé,al_is_at_ion,détuélalisation,target,p,0.0,0,d,v,vétuélalisation,1,15
nirusnasalbe,nurusnasalbe,pprs,nas,ni_rus,albe,nirusnasalbe,control,p,0.0,1,i,u,nurusnasalbe,1,12
édloudlasitaoin,édloudlasitaoin,prssss,loud,éd,la_si_ta_oin,édloudlasitaoin,control,s,0.0,1,a,e,édloudlesitaoin,0,15
inlémistiquement,onlémistiquement,prsss,lém,in,ist_ique_ment,inlémistiquement,target,p,0.0,0,i,o,onlémistiquement,1,16
buslansnitaoin,buslansnitaoin,prsss,lans,bus,ni_ta_oin,buslansnitaoin,control,s,0.0,1,i,e,buslansnetaoin,0,14
trenconaimour,frenconaimour,pr_long,naimour,trenco,,trenconaimour,control,p,0.0,0,t,f,frenconaimour,1,13
kieutelable,kieutelable,rs_long,kieutel,,able,kieutelable,target,r,,3,u,i,kieitelable,0,11
insurjaunable,insurjaunable,pprs,jaun,in_sur,able,insurjaunable,target,r,,2,u,a,insurjaanable,0,13
insnalivité,insnalivité,prss,snal,in,iv_ité,insnalivité,target,s,0.0,0,i,e,insnalevité,0,11
insurjurable,insurlurable,pprs,jur,in_sur,able,insurjurable,target,r,,0,j,l,insurlurable,1,12
diceusement,diceusemert,rss,dic,,euse_ment,diceusement,target,s,1.0,2,n,r,diceusemert,1,11
dédoulalisation,dédoulalisation,prssss,doul,dé,al_is_at_ion,dédoulalisation,target,p,0.0,0,d,v,védoulalisation,0,15
comationalisme,comationalisme,rssss,com,,at_ion_al_isme,comationalisme,target,s,0.0,1,t,p,comapionalisme,0,14
gauntir,geuntir,r_long,gauntir,,,gauntir,control,r,,1,a,e,geuntir,1,7
erédmél,erédmol,ppr,mél,er_éd,,erédmél,control,r,,1,é,o,erédmol,1,7
injaunelité,injaunelité,prss,jaun,in,el_ité,injaunelité,target,p,0.0,0,i,e,enjaunelité,0,11
nitrecsitequinemt,nitnecsitequinemt,prsss,trec,ni,sit_equi_nemt,nitrecsitequinemt,control,r,,1,r,n,nitnecsitequinemt,1,17
naujtaoinlaisem,naejtaoinlaisem,rssss,nauj,,ta_oin_la_isem,naujtaoinlaisem,control,r,,2,u,e,naejtaoinlaisem,1,15
riènnatiasoin,rièrnatiasoin,rsss,rièn,,na_tias_oin,riènnatiasoin,control,r,,3,n,r,rièrnatiasoin,1,13
contrechévaul,contrechévoul,pr_long,chévaul,contre,,contrechévaul,target,r,,4,a,o,contrechévoul,1,13
ermoctan,ermoctan,prs,moc,er,tan,ermoctan,control,p,0.0,1,r,l,elmoctan,0,8
impréjaunation,impréjaunition,pprss,jaun,im_pré,at_ion,impréjaunation,target,s,0.0,0,a,i,impréjaunition,1,14
suréjuration,suréruration,pprss,jur,sur_é,at_ion,suréjuration,target,r,,0,j,r,suréruration,1,12
loudlatié,loudlatié,rss,loud,,la_tié,loudlatié,control,s,0.0,1,a,e,loudletié,0,9
nirustainalbe,nirustainalbe,pprs,tain,ni_rus,albe,nirustainalbe,control,s,0.0,3,e,é,nirustainalbé,0,13
mélnemtlatié,mélnemtlatué,rsss,mél,,nemt_la_tié,mélnemtlatié,control,s,2.0,1,i,u,mélnemtlatué,1,12
dicat,dicag,rs,dic,,at,dicat,target,s,0.0,1,t,g,dicag,1,5
injaun,enjaun,pr,jaun,in,,injaun,target,p,0.0,0,i,e,enjaun,1,6
dofté,dofté,rs,dof,,té,dofté,target,s,0.0,0,t,s,dofsé,0,5
subcertination,subcertination,prsss,cert,sub,in_at_ion,subcertination,target,r,,3,t,b,subcerbination,0,14
subklemination,sucklemination,prsss,klem,sub,in_at_ion,subklemination,target,p,0.0,2,b,c,sucklemination,1,14
nilauvécharie,nilauvécharie,prs_long,lauvéch,ni,arie,nilauvécharie,control,r,,3,v,d,nilaudécharie,0,13
réplebairoin,réplebairoin,prs_long,lebair,rép,oin,réplebairoin,control,r,,0,l,n,répnebairoin,0,12
riènét,liènét,rs,rièn,,ét,riènét,control,r,,0,r,l,liènét,1,6
erlakeag,erlakeag,prs,lak,er,eag,erlakeag,control,s,0.0,0,e,u,erlakuag,0,8
mirépvérttaoin,mirépvérttaoin,pprss,vért,mi_rép,ta_oin,mirépvérttaoin,control,r,,0,v,t,miréptérttaoin,0,14
sanationalisme,sanationalisme,rssss,san,,at_ion_al_isme,sanationalisme,target,r,,1,a,e,senationalisme,0,14
snalalité,snalalité,rss,snal,,al_ité,snalalité,target,s,0.0,1,l,r,snalarité,0,9
trocta,trocta,rs,troc,,ta,trocta,control,s,0.0,1,a,é,trocté,0,6
redéfoir,rudéfoir,ppr,foir,re_dé,,redéfoir,target,p,0.0,1,e,u,rudéfoir,1,8
tounecalbe,tounecalse,rs_long,tounec,,albe,tounecalbe,control,s,0.0,2,b,s,tounecalse,1,10
inerbailaire,inerbailaare,prs_long,erbail,in,aire,inerbailaire,target,s,0.0,1,i,a,inerbailaare,1,12
indiotablement,indiotablement,prss,diot,in,able_ment,indiotablement,target,p,0.0,1,n,l,ildiotablement,0,14
surénièration,surénièration,pprss,nièr,sur_é,at_ion,surénièration,target,r,,1,i,a,surénaèration,0,13
rejaunage,rejaunage,prs,jaun,re,age,rejaunage,target,r,,2,u,o,rejaonage,0,9
certionnel,certionnel,rss,cert,,ionn_el,certionnel,target,r,,1,e,a,cartionnel,0,10
busrounnitaoin,bucrounnitaoin,prsss,roun,bus,ni_ta_oin,busrounnitaoin,control,p,0.0,2,s,c,bucrounnitaoin,1,14
miloudletié,moloudletié,prss,loud,mi,le_tié,miloudletié,control,p,0.0,1,i,o,moloudletié,1,11
clôtanisation,clôtanisateon,rsss,clôt,,an_isat_ion,clôtanisation,target,s,2.0,0,i,e,clôtanisateon,1,13
coitmentalité,ciitmentalité,rsss,coit,,ment_al_ité,coitmentalité,target,r,,1,o,i,ciitmentalité,1,13
tôlceseunemt,tôlceseunimt,rss,tôlc,,eseu_nemt,tôlceseunemt,control,s,1.0,1,e,i,tôlceseunimt,1,12
reklemant,leklemant,prs,klem,re,ant,reklemant,target,p,0.0,0,r,l,leklemant,1,9
tuélmentalité,tuélmentalité,rsss,tuél,,ment_al_ité,tuélmentalité,target,s,0.0,0,m,r,tuélrentalité,0,13
kieutelique,kieutelique,rs_long,kieutel,,ique,kieutelique,target,s,0.0,3,e,i,kieuteliqui,0,11
mitiocvitié,midiocvitié,prss,tioc,mi,vi_tié,mitiocvitié,control,r,,0,t,d,midiocvitié,1,11
toid,soid,r,toid,,,toid,control,r,,0,t,s,soid,1,4
kaudin,daudin,r_long,kaudin,,,kaudin,target,r,,0,k,d,daudin,1,6
léutnemtlatié,léutnemtlatié,rsss,léut,,nemt_la_tié,léutnemtlatié,control,s,2.0,2,é,a,léutnemtlatia,0,13
ruséreigtaoin,ruséreigtaoin,pprss,reig,rus_é,ta_oin,ruséreigtaoin,control,p,0.0,0,r,l,luséreigtaoin,0,13
rounlasitaoin,lounlasitaoin,rssss,roun,,la_si_ta_oin,rounlasitaoin,control,r,,0,r,l,lounlasitaoin,1,13
nirujalbenemt,nirujalbenemt,prss,ruj,ni,albe_nemt,nirujalbenemt,control,r,,0,r,m,nimujalbenemt,0,13
nour,noul,r,nour,,,nour,target,r,,3,r,l,noul,1,4
fodtaoinlaisem,fodtaoinlaisem,rssss,fod,,ta_oin_la_isem,fodtaoinlaisem,control,s,1.0,2,n,r,fodtaoirlaisem,0,14
ertrateag,ertrateag,prs,trat,er,eag,ertrateag,control,p,0.0,0,e,a,artrateag,0,9
darièn,dirièn,pr,rièn,da,,darièn,control,p,0.0,1,a,i,dirièn,1,6
naujni,naujmi,rs,nauj,,ni,naujni,control,s,0.0,0,n,m,naujmi,1,6
trecinnole,trecinnole,rss,trec,,inno_le,trecinnole,control,r,,3,c,s,tresinnole,0,10
taufol,taufol,r_long,taufol,,,taufol,target,r,,0,t,h,haufol,0,6
erédcid,eréccid,ppr,cid,er_éd,,erédcid,control,p,1.0,1,d,c,eréccid,1,7
nirusmocalbe,nirusmocalbe,pprs,moc,ni_rus,albe,nirusmocalbe,control,s,0.0,1,l,m,nirusmocambe,0,12
préerbailion,tréerbailion,prs_long,erbail,pré,ion,préerbailion,target,p,0.0,0,p,t,tréerbailion,1,12
naitalisation,naitalisation,rssss,nait,,al_is_at_ion,naitalisation,target,s,0.0,0,a,e,naitelisation,0,13
dédiralisation,dédilalisation,prssss,dir,dé,al_is_at_ion,dédiralisation,target,r,,2,r,l,dédilalisation,1,14
niléut,liléut,pr,léut,ni,,niléut,control,p,0.0,0,n,l,liléut,1,6
tokunirequi,tokunirequi,rs_long,tokunir,,equi,tokunirequi,control,r,,6,r,m,tokunimequi,0,11
édvértlasitaoin,édvértlasitaoin,prssss,vért,éd,la_si_ta_oin,édvértlasitaoin,control,s,0.0,1,a,e,édvértlesitaoin,0,15
rusétioctaoin,rupétioctaoin,pprss,tioc,rus_é,ta_oin,rusétioctaoin,control,p,0.0,2,s,p,rupétioctaoin,1,13
édtroclasitaoin,édtroglasitaoin,prssss,troc,éd,la_si_ta_oin,édtroclasitaoin,control,r,,3,c,g,édtroglasitaoin,1,15
naitin,naitin,rs,nait,,in,naitin,target,s,0.0,1,n,l,naitil,0,6
miérpruj,miérpruj,ppr,ruj,mi_érp,,miérpruj,control,p,0.0,1,i,e,meérpruj,0,8
letizus,letizus,r_long,letizus,,,letizus,control,r,,1,e,o,lotizus,0,7
redéclôt,rediclôt,ppr,clôt,re_dé,,redéclôt,target,p,1.0,1,é,i,rediclôt,1,8
rustounec,rustoumec,pr_long,tounec,rus,,rustounec,control,r,,3,n,m,rustoumec,1,9
insurcomable,insurcomable,pprs,com,in_sur,able,insurcomable,target,p,1.0,1,u,i,insircomable,0,12
