first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
dirifiquement,dirifiquement,rsss,dir,,if_ique_ment,dirifiquement,target,r,,2,r,n,dinifiquement,0,13
prévorisation,prévorisation,rsss,prév,,or_isat_ion,prévorisation,target,r,,3,v,f,préforisation,0,13
rusécibtaoin,ruségibtaoin,pprss,cib,rus_é,ta_oin,rusécibtaoin,control,r,,0,c,g,ruségibtaoin,1,12
lakel,lakel,rs,lak,,el,lakel,target,r,,1,a,i,likel,0,5
rusétrec,rusétrec,ppr,trec,rus_é,,rusétrec,control,r,,2,e,u,rusétruc,0,8
tratle,tratle,rs,trat,,le,tratle,control,s,0.0,1,e,a,tratla,0,6
cojur,cojur,pr,jur,co,,cojur,target,r,,2,r,n,cojun,0,5
tratrotiasoin,tratnotiasoin,rsss,trat,,ro_tias_oin,tratrotiasoin,control,s,0.0,0,r,n,tratnotiasoin,1,13
subcortination,subcortinetion,prsss,cort,sub,in_at_ion,subcortination,target,s,1.0,0,a,e,subcortinetion,1,14
sédnekalre,sédnekalne,pprs,kal,séd_ne,re,sédnekalre,control,s,0.0,0,r,n,sédnekalne,1,10
enmaitant,unmaitant,prs,mait,en,ant,enmaitant,target,p,0.0,0,e,u,unmaitant,1,9
détournosisme,détournosisme,prs_long,tournos,dé,isme,détournosisme,target,p,0.0,0,d,c,cétournosisme,0,13
mièrté,miurté,rs,mièr,,té,mièrté,target,r,,2,è,u,miurté,1,6
suréblôtation,suréblôtateon,pprss,blôt,sur_é,at_ion,suréblôtation,target,s,1.0,0,i,e,suréblôtateon,1,13
déblôtationalisme,déblôtationanisme,prssss,blôt,dé,at_ion_al_isme,déblôtationalisme,target,s,2.0,1,l,n,déblôtationanisme,1,17
imprébafation,impnébafation,pprss,baf,im_pré,at_ion,imprébafation,target,p,1.0,1,r,n,impnébafation,1,13
nirusnaujalbe,nirusnaujulbe,pprs,nauj,ni_rus,albe,nirusnaujalbe,control,s,0.0,0,a,u,nirusnaujulbe,1,13
suréreimation,suréreilation,pprss,reim,sur_é,at_ion,suréreimation,target,r,,3,m,l,suréreilation,1,13
doulalisation,doelalisation,rssss,doul,,al_is_at_ion,doulalisation,target,r,,2,u,e,doelalisation,1,13
prékirnout,prékirnout,pr_long,kirnout,pré,,prékirnout,target,p,0.0,2,é,a,prakirnout,0,10
édtroclasitaoin,édtroclasitaoin,prssss,troc,éd,la_si_ta_oin,édtroclasitaoin,control,s,2.0,1,a,i,édtroclasitioin,0,15
mimelk,rimelk,pr,melk,mi,,mimelk,control,p,0.0,0,m,r,rimelk,1,6
tuél,tuél,r,tuél,,,tuél,target,r,,2,é,e,tuel,0,4
nerièmeru,nerièmeru,prs,rièm,ne,eru,nerièmeru,control,s,0.0,2,u,e,nerièmere,0,9
taim,taim,r,taim,,,taim,control,r,,1,a,i,tiim,0,4
tratelanemt,tratelanemt,rss,trat,,ela_nemt,tratelanemt,control,s,1.0,3,t,d,tratelanemd,0,11
dir,der,r,dir,,,dir,target,r,,1,i,e,der,1,3
surétart,surétort,ppr,tart,sur_é,,surétart,target,r,,1,a,o,surétort,1,8
endioteur,endioteur,prs,diot,en,eur,endioteur,target,r,,1,i,a,endaoteur,0,9
rusémiertaoin,rusémiertaoir,pprss,mier,rus_é,ta_oin,rusémiertaoin,control,s,1.0,2,n,r,rusémiertaoir,1,13
erédroub,erédroub,ppr,roub,er_éd,,erédroub,control,r,,1,o,a,erédraub,0,8
imtart,imtart,pr,tart,im,,imtart,target,r,,3,t,d,imtard,0,6
erlémtiéoin,arlémtiéoin,prss,lém,er,tié_oin,erlémtiéoin,control,p,0.0,0,e,a,arlémtiéoin,1,11
édlèrpomisem,édlèmpomisem,prs_long,lèrpom,éd,isem,édlèrpomisem,control,r,,2,r,m,édlèmpomisem,1,12
édlebairalbe,édlebaimalbe,prs_long,lebair,éd,albe,édlebairalbe,control,r,,5,r,m,édlebaimalbe,1,12
tôlbtaoinlaisem,tôlbtaoinlaisem,rssss,tôlb,,ta_oin_la_isem,tôlbtaoinlaisem,control,r,,3,b,p,tôlptaoinlaisem,0,15
édsurctaoinlaisem,édsurctaoinlaisem,prssss,surc,éd,ta_oin_la_isem,édsurctaoinlaisem,control,r,,2,r,l,édsulctaoinlaisem,0,17
daunilequi,daunilequi,rs_long,daunil,,equi,daunilequi,control,r,,3,n,r,daurilequi,0,10
remaititéion,remaititéion,prss,mait,re,ité_ion,remaititéion,target,p,0.0,1,e,i,rimaititéion,0,12
insurlakable,insurlakable,pprs,lak,in_sur,able,insurlakable,target,p,0.0,0,i,o,onsurlakable,0,12
errujsisnat,errujsislat,prss,ruj,er,sis_nat,errujsisnat,control,s,1.0,0,n,l,errujsislat,1,11
niloudarienemt,niloudarienemt,prss,loud,ni,arie_nemt,niloudarienemt,control,p,0.0,0,n,r,riloudarienemt,0,14
redébafage,redébafage,pprs,baf,re_dé,age,redébafage,target,s,0.0,0,a,i,redébafige,0,10
maitorisation,maitorisation,rsss,mait,,or_isat_ion,maitorisation,target,s,2.0,1,o,u,maitorisatiun,0,13
nesnaltan,nesnaltan,prs,snal,ne,tan,nesnaltan,control,p,0.0,1,e,u,nusnaltan,0,9
ocruj,ocrun,pr,ruj,oc,,ocruj,control,r,,2,j,n,ocrun,1,5
bouralisation,bauralisation,rssss,bour,,al_is_at_ion,bouralisation,target,r,,1,o,a,bauralisation,1,13
délaufolable,délaufolasle,prs_long,laufol,dé,able,délaufolable,target,s,0.0,1,b,s,délaufolasle,1,12
erédroubeag,erédroubeag,pprs,roub,er_éd,eag,erédroubeag,control,r,,2,u,à,erédroàbeag,0,11
boitellement,boitellenent,rss,boit,,elle_ment,boitellement,target,s,1.0,0,m,n,boitellenent,1,12
subfilination,subfilination,prsss,fil,sub,in_at_ion,subfilination,target,r,,0,f,t,subtilination,0,13
jurel,jurel,rs,jur,,el,jurel,target,r,,2,r,l,julel,0,5
contresauvert,contmesauvert,pr_long,sauvert,contre,,contresauvert,target,p,0.0,4,r,m,contmesauvert,1,13
erléuttitaoin,enléuttitaoin,prsss,léut,er,ti_ta_oin,erléuttitaoin,control,p,0.0,1,r,n,enléuttitaoin,1,13
coklem,coklim,pr,klem,co,,coklem,target,r,,2,e,i,coklim,1,6
nort,nors,r,nort,,,nort,control,r,,3,t,s,nors,1,4
rebicitation,rebicitetion,prsss,bic,re,it_at_ion,rebicitation,target,s,1.0,0,a,e,rebicitetion,1,12
prolèmaire,prolèmaire,rs_long,prolèm,,aire,prolèmaire,target,r,,5,m,r,prolèraire,0,10
busléutnitaoin,busréutnitaoin,prsss,léut,bus,ni_ta_oin,busléutnitaoin,control,r,,0,l,r,busréutnitaoin,1,14
mirépsnaltaoin,mirépsnaltaoin,pprss,snal,mi_rép,ta_oin,mirépsnaltaoin,control,s,0.0,1,a,o,mirépsnaltooin,0,14
surenjur,surenjun,ppr,jur,sur_en,,surenjur,target,r,,2,r,n,surenjun,1,8
déreimalisation,dereimalisation,prssss,reim,dé,al_is_at_ion,déreimalisation,target,p,0.0,1,é,e,dereimalisation,1,15
toulig,toulig,r_long,toulig,,,toulig,control,r,,4,i,e,touleg,0,6
chévaul,chévaul,r_long,chévaul,,,chévaul,target,r,,3,v,s,chésaul,0,7
deuchamarie,deuchamarie,rs_long,deucham,,arie,deuchamarie,control,s,0.0,0,a,e,deuchamerie,0,11
siatelelnemt,siatelelnemt,rss,siat,,elel_nemt,siatelelnemt,control,r,,0,s,d,diatelelnemt,0,12
recrusissant,recrusissant,prss,crus,re,iss_ant,recrusissant,target,r,,3,s,b,recrubissant,0,12
roiflasitaoin,roiflasitaoin,rssss,roif,,la_si_ta_oin,roiflasitaoin,control,r,,3,f,t,roitlasitaoin,0,13
bieutelique,bieutelique,rs_long,bieutel,,ique,bieutelique,target,r,,3,u,e,bieetelique,0,11
réptoulig,roptoulig,pr_long,toulig,rép,,réptoulig,control,p,0.0,1,é,o,roptoulig,1,9
siatfiequinemt,siotfiequinemt,rsss,siat,,fi_equi_nemt,siatfiequinemt,control,r,,2,a,o,siotfiequinemt,1,14
édridlasitaoin,édridlasitaoin,prssss,rid,éd,la_si_ta_oin,édridlasitaoin,control,p,0.0,1,d,c,écridlasitaoin,0,14
redétuél,redétuén,ppr,tuél,re_dé,,redétuél,target,r,,3,l,n,redétuén,1,8
tôlbét,tôlbet,rs,tôlb,,ét,tôlbét,control,s,0.0,0,é,e,tôlbet,1,6
tounec,tounec,r_long,tounec,,,tounec,control,r,,4,e,ê,tounêc,0,6
bustôlbnitaoin,bustelbnitaoin,prsss,tôlb,bus,ni_ta_oin,bustôlbnitaoin,control,r,,1,ô,e,bustelbnitaoin,1,14
kallasitaoin,kêllasitaoin,rssss,kal,,la_si_ta_oin,kallasitaoin,control,r,,1,a,ê,kêllasitaoin,1,12
déboitalisation,déboitelisation,prssss,boit,dé,al_is_at_ion,déboitalisation,target,s,0.0,0,a,e,déboitelisation,1,15
nitoidle,nitoidle,prs,toid,ni,le,nitoidle,control,p,0.0,1,i,e,netoidle,0,8
vérple,vérpne,rs,vérp,,le,vérple,control,s,0.0,0,l,n,vérpne,1,6
désenjauner,désonjauner,pprs,jaun,dés_en,er,désenjauner,target,p,1.0,0,e,o,désonjauner,1,11
ocsnal,ocsnal,pr,snal,oc,,ocsnal,control,r,,1,n,m,ocsmal,0,6
trencotounec,trencotoonec,pr_long,tounec,trenco,,trencotounec,control,r,,2,u,o,trencotoonec,1,12
sanalement,danalement,rss,san,,ale_ment,sanalement,target,r,,0,s,d,danalement,1,10
indiotel,indioten,prs,diot,in,el,indiotel,target,s,0.0,1,l,n,indioten,1,8
inblôtairement,inblôtairement,prss,blôt,in,aire_ment,inblôtairement,target,s,0.0,2,r,l,inblôtailement,0,14
mélationalisme,mélationalisme,rssss,mél,,at_ion_al_isme,mélationalisme,target,s,1.0,2,n,l,mélatiolalisme,0,14
douleusement,douleusement,rss,doul,,euse_ment,douleusement,target,r,,1,o,u,duuleusement,0,12
kaleseunemt,taleseunemt,rss,kal,,eseu_nemt,kaleseunemt,control,r,,0,k,t,taleseunemt,1,11
rusnekal,rusnekal,ppr,kal,rus_ne,,rusnekal,control,p,0.0,0,r,l,lusnekal,0,8
tournos,tournos,r_long,tournos,,,tournos,target,r,,6,s,b,tournob,0,7
vérprotiasoin,vérsrotiasoin,rsss,vérp,,ro_tias_oin,vérprotiasoin,control,r,,3,p,s,vérsrotiasoin,1,13
