first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
fodla,fodra,rs,fod,,la,fodla,control,s,0.0,0,l,r,fodra,1,5
redétronage,redétronage,pprs,tron,re_dé,age,redétronage,target,r,,2,o,e,redétrenage,0,11
naimour,laimour,r_long,naimour,,,naimour,control,r,,0,n,l,laimour,1,7
gaurtinment,gairtinment,rs_long,gaurtin,,ment,gaurtinment,target,r,,2,u,i,gairtinment,1,11
cenoutment,cenoutment,rs_long,cenout,,ment,cenoutment,target,s,0.0,2,n,r,cenoutmert,0,10
trocnemtlatié,trocnemtlatié,rsss,troc,,nemt_la_tié,trocnemtlatié,control,r,,0,t,c,crocnemtlatié,0,13
troclaeist,troclaeift,rss,troc,,la_eist,troclaeist,control,s,1.0,2,s,f,troclaeift,1,10
décert,décert,pr,cert,dé,,décert,target,p,0.0,0,d,t,técert,0,6
imprécrusation,imprécrudation,pprss,crus,im_pré,at_ion,imprécrusation,target,r,,3,s,d,imprécrudation,1,14
foiral,voiral,rs,foir,,al,foiral,target,r,,0,f,v,voiral,1,6
errujtaoin,errujtaoin,prss,ruj,er,ta_oin,errujtaoin,control,s,1.0,1,i,e,errujtaoen,0,10
insilitésimal,insilitésimar,prsss,sil,in,ité_sim_al,insilitésimal,target,s,2.0,1,l,r,insilitésimar,1,13
ininterdic,ininterdih,ppr,dic,in_inter,,ininterdic,target,r,,2,c,h,ininterdih,1,10
édriènlasitaoin,édriènlasivaoin,prssss,rièn,éd,la_si_ta_oin,édriènlasitaoin,control,s,2.0,0,t,v,édriènlasivaoin,1,15
nirujtan,nirujtan,prs,ruj,ni,tan,nirujtan,control,p,0.0,1,i,o,norujtan,0,8
prérenour,prérenour,ppr,nour,pré_re,,prérenour,target,r,,0,n,m,préremour,0,9
erreigtaoin,erreigtaoin,prss,reig,er,ta_oin,erreigtaoin,control,p,0.0,0,e,a,arreigtaoin,0,11
cortaliste,cortalisve,rss,cort,,al_iste,cortaliste,target,s,1.0,2,t,v,cortalisve,1,10
