first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
surésan,surésen,ppr,san,sur_é,,surésan,target,r,,1,a,e,surésen,1,7
pauropure,pauropure,rs_long,paurop,,ure,pauropure,control,r,,2,u,e,paeropure,0,9
rusémiertaoin,rusémiertaoin,pprss,mier,rus_é,ta_oin,rusémiertaoin,control,s,1.0,1,i,u,rusémiertaoun,0,13
édrujeag,étrujeag,prs,ruj,éd,eag,édrujeag,control,p,0.0,1,d,t,étrujeag,1,8
pourgilout,pourgilout,pr_long,gilout,pour,,pourgilout,target,p,0.0,0,p,c,courgilout,0,10
rusénaujtaoin,rusénaujtaoin,pprss,nauj,rus_é,ta_oin,rusénaujtaoin,control,r,,2,u,e,rusénaejtaoin,0,13
cibta,cibta,rs,cib,,ta,cibta,control,s,0.0,1,a,o,cibto,0,5
cotron,cotron,pr,tron,co,,cotron,target,p,0.0,1,o,e,cetron,0,6
retartitation,netartitation,prsss,tart,re,it_at_ion,retartitation,target,p,0.0,0,r,n,netartitation,1,13
remélablement,remalablement,prss,mél,re,able_ment,remélablement,target,r,,1,é,a,remalablement,1,13
surésanation,surétanation,pprss,san,sur_é,at_ion,surésanation,target,r,,0,s,t,surétanation,1,12
ertrattitaoin,ertrattitaoin,prsss,trat,er,ti_ta_oin,ertrattitaoin,control,p,0.0,0,e,o,ortrattitaoin,0,13
inbourité,inbourité,prs,bour,in,ité,inbourité,target,s,0.0,1,t,s,inbourisé,0,9
puliteseur,puliteseul,rs_long,pulites,,eur,puliteseur,target,s,0.0,2,r,l,puliteseul,1,10
tratni,gratni,rs,trat,,ni,tratni,control,r,,0,t,g,gratni,1,6
onnspocél,onnspocél,pr_long,spocél,onn,,onnspocél,control,p,0.0,0,o,a,annspocél,0,9
jurival,jurival,rss,jur,,iv_al,jurival,target,s,0.0,1,v,f,jurifal,0,7
jurationalisme,jurationalisme,rssss,jur,,at_ion_al_isme,jurationalisme,target,r,,2,r,j,jujationalisme,0,14
érperlis,érperlis,ppr,lis,érp_er,,érperlis,control,r,,0,l,r,érperris,0,8
erléuttitaoin,elléuttitaoin,prsss,léut,er,ti_ta_oin,erléuttitaoin,control,p,0.0,1,r,l,elléuttitaoin,1,13
prévablement,prévablemelt,rss,prév,,able_ment,prévablement,target,s,1.0,2,n,l,prévablemelt,1,12
filalisation,filalisation,rssss,fil,,al_is_at_ion,filalisation,target,s,2.0,0,a,u,filalisution,0,12
cortat,cortah,rs,cort,,at,cortat,target,s,0.0,1,t,h,cortah,1,6
nitiobtan,nitaobtan,prs,tiob,ni,tan,nitiobtan,control,r,,1,i,a,nitaobtan,1,9
baforialiste,baforialiste,rsss,baf,,or_ial_iste,baforialiste,target,r,,1,a,e,beforialiste,0,12
commentaire,kommentaire,rss,com,,ment_aire,commentaire,target,r,,0,c,k,kommentaire,1,11
délansationalisme,délansationalisme,prssss,lans,dé,at_ion_al_isme,délansationalisme,target,p,0.0,1,é,e,delansationalisme,0,17
cortalisation,cortalisation,rsss,cort,,al_isat_ion,cortalisation,target,r,,0,c,d,dortalisation,0,13
décrusage,décrusage,prs,crus,dé,age,décrusage,target,r,,0,c,s,désrusage,0,9
nimelklatié,nimelklatié,prss,melk,ni,la_tié,nimelklatié,control,s,0.0,1,a,o,nimelklotié,0,11
édnautirbacne,édnautirbacne,prs_long,nautirb,éd,acne,édnautirbacne,control,p,0.0,0,é,e,ednautirbacne,0,13
relansitation,relansitation,prsss,lans,re,it_at_ion,relansitation,target,r,,1,a,e,relensitation,0,13
nortalbenemt,nortalsenemt,rss,nort,,albe_nemt,nortalbenemt,control,s,0.0,2,b,s,nortalsenemt,1,12
naimour,naimour,r_long,naimour,,,naimour,control,r,,2,i,o,naomour,0,7
déerbailance,déerdailance,prs_long,erbail,dé,ance,déerbailance,target,r,,2,b,d,déerdailance,1,12
jaun,jiun,r,jaun,,,jaun,target,r,,1,a,i,jiun,1,4
siatlasitaoin,siatlasitaoin,rssss,siat,,la_si_ta_oin,siatlasitaoin,control,r,,1,i,e,seatlasitaoin,0,13
porudaunil,parudaunil,pr_long,daunil,poru,,porudaunil,control,p,0.0,1,o,a,parudaunil,1,10
bourin,bouril,rs,bour,,in,bourin,target,s,0.0,1,n,l,bouril,1,6
touneceseu,touneceseu,rs_long,tounec,,eseu,touneceseu,control,r,,5,c,t,touneteseu,0,10
édnastaoinlaisem,édnasteoinlaisem,prssss,nas,éd,ta_oin_la_isem,édnastaoinlaisem,control,s,0.0,1,a,e,édnasteoinlaisem,1,16
nirujéti,nirujéti,prs,ruj,ni,éti,nirujéti,control,r,,2,j,l,niruléti,0,8
acibelanemt,acibelanamt,prss,cib,a,ela_nemt,acibelanemt,control,s,1.0,1,e,a,acibelanamt,1,11
surébouration,surébouration,pprss,bour,sur_é,at_ion,surébouration,target,s,0.0,1,t,d,surébouradion,0,13
loudnemtarie,loudnemtarie,rss,loud,,nemt_arie,loudnemtarie,control,s,0.0,3,t,p,loudnemparie,0,12
letech,letich,r_long,letech,,,letech,control,r,,3,e,i,letich,1,6
impréfilation,impréfilation,pprss,fil,im_pré,at_ion,impréfilation,target,r,,1,i,o,impréfolation,0,13
nikal,nikar,pr,kal,ni,,nikal,control,r,,2,l,r,nikar,1,5
bour,bour,r,bour,,,bour,target,r,,0,b,t,tour,0,4
kirnout,kimnout,r_long,kirnout,,,kirnout,target,r,,2,r,m,kimnout,1,7
nonbieutel,nonbieutel,pr_long,bieutel,non,,nonbieutel,target,p,0.0,2,n,m,nombieutel,0,10
moctaoinlaisem,moctaoinlaisem,rssss,moc,,ta_oin_la_isem,moctaoinlaisem,control,r,,0,m,l,loctaoinlaisem,0,14
prérelak,prérelak,ppr,lak,pré_re,,prérelak,target,r,,1,a,i,prérelik,0,8
édnorttaoinlaisem,adnorttaoinlaisem,prssss,nort,éd,ta_oin_la_isem,édnorttaoinlaisem,control,p,0.0,0,é,a,adnorttaoinlaisem,1,17
kal,sal,r,kal,,,kal,control,r,,0,k,s,sal,1,3
sédnitratre,sédnitratre,pprs,trat,séd_ni,re,sédnitratre,control,r,,1,r,l,sédnitlatre,0,11
rièm,riem,r,rièm,,,rièm,control,r,,2,è,e,riem,1,4
intaisent,intaisent,prs,tais,in,ent,intaisent,target,s,0.0,1,n,m,intaisemt,0,9
naujrotiasoin,naujrogiasoin,rsss,nauj,,ro_tias_oin,naujrotiasoin,control,s,1.0,0,t,g,naujrogiasoin,1,13
maitif,maigif,rs,mait,,if,maitif,target,r,,3,t,g,maigif,1,6
subtronination,subdronination,prsss,tron,sub,in_at_ion,subtronination,target,r,,0,t,d,subdronination,1,14
désinpréver,désimpréver,pprs,prév,dés_in,er,désinpréver,target,p,1.0,1,n,m,désimpréver,1,11
roubfi,roudfi,rs,roub,,fi,roubfi,control,r,,3,b,d,roudfi,1,6
buslémnitaoin,buslémnitaoin,prsss,lém,bus,ni_ta_oin,buslémnitaoin,control,r,,2,m,r,buslérnitaoin,0,13
cocert,cocert,pr,cert,co,,cocert,target,r,,0,c,s,cosert,0,6
ruséroif,ruséroif,ppr,roif,rus_é,,ruséroif,control,p,0.0,0,r,n,nuséroif,0,8
décortationalisme,dacortationalisme,prssss,cort,dé,at_ion_al_isme,décortationalisme,target,p,0.0,1,é,a,dacortationalisme,1,17
intartalité,intartalité,prss,tart,in,al_ité,intartalité,target,s,0.0,1,l,r,intartarité,0,11
taisorisation,vaisorisation,rsss,tais,,or_isat_ion,taisorisation,target,r,,0,t,v,vaisorisation,1,13
inlans,illans,pr,lans,in,,inlans,target,p,0.0,1,n,l,illans,1,6
octôlb,ictôlb,pr,tôlb,oc,,octôlb,control,p,0.0,0,o,i,ictôlb,1,6
erbail,erbail,r_long,erbail,,,erbail,target,r,,0,e,a,arbail,0,6
taisationalisme,taisationalisme,rssss,tais,,at_ion_al_isme,taisationalisme,target,r,,0,t,p,paisationalisme,0,15
abafalement,abasalement,prss,baf,a,ale_ment,abafalement,target,r,,2,f,s,abasalement,1,11
nirusfabalbe,nirusfabalbe,pprs,fab,ni_rus,albe,nirusfabalbe,control,p,1.0,2,s,b,nirubfabalbe,0,12
édlistaoinlaisem,édlistaoinlaisem,prssss,lis,éd,ta_oin_la_isem,édlistaoinlaisem,control,r,,2,s,t,édlittaoinlaisem,0,16
ininterbour,ininterbour,ppr,bour,in_inter,,ininterbour,target,r,,2,u,i,ininterboir,0,11
détérroulance,détérroulence,prs_long,térroul,dé,ance,détérroulance,target,s,0.0,0,a,e,détérroulence,1,13
ridlatiasoin,ridlatiasoin,rsss,rid,,la_tias_oin,ridlatiasoin,control,r,,1,i,e,redlatiasoin,0,12
roubvila,raubvila,rss,roub,,vi_la,roubvila,control,r,,1,o,a,raubvila,1,8
melkroilaeist,melkreilaeist,rsss,melk,,ro_ila_eist,melkroilaeist,control,s,0.0,1,o,e,melkreilaeist,1,13
nirentivérp,nirentivérp,ppr,vérp,ni_renti,,nirentivérp,control,p,0.0,0,n,r,rirentivérp,0,11
fabtaoinlaisem,fagtaoinlaisem,rssss,fab,,ta_oin_la_isem,fabtaoinlaisem,control,r,,2,b,g,fagtaoinlaisem,1,14
errujalbenemt,irrujalbenemt,prss,ruj,er,albe_nemt,errujalbenemt,control,p,0.0,0,e,i,irrujalbenemt,1,13
sédnelisre,sédnelisre,pprs,lis,séd_ne,re,sédnelisre,control,s,0.0,0,r,m,sédnelisme,0,10
térrouleuse,térrouleusi,rs_long,térroul,,euse,térrouleuse,target,s,0.0,3,e,i,térrouleusi,1,11
miréplistaoin,miréplidtaoin,pprss,lis,mi_rép,ta_oin,miréplistaoin,control,r,,2,s,d,miréplidtaoin,1,13
désenreimer,désenreimen,pprs,reim,dés_en,er,désenreimer,target,s,0.0,1,r,n,désenreimen,1,11
ocmelk,ocmels,pr,melk,oc,,ocmelk,control,r,,3,k,s,ocmels,1,6
édtrevausacne,éctrevausacne,prs_long,trevaus,éd,acne,édtrevausacne,control,p,0.0,1,d,c,éctrevausacne,1,13
décrusationalisme,décrusationalisme,prssss,crus,dé,at_ion_al_isme,décrusationalisme,target,p,0.0,0,d,h,hécrusationalisme,0,17
insurfilable,insurfelable,pprs,fil,in_sur,able,insurfilable,target,r,,1,i,e,insurfelable,1,12
