first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
perplexe,perplexe,r,,perplexe,,perplexe,control,r,,1,e,o,porplexe,0,8
quantier,quartier,rs,,quart,ier,quartier,target,r,,3,r,n,quantier,3,8
celloptane,cellophane,r,,cellophane,,cellophane,control,r,,6,h,t,celloptane,3,10
inqrédulité,incrédulité,prss,in,créd,ul_ité,incrédulité,target,r,,0,c,q,inqrédulité,3,11
ventelateur,ventelateur,rsss,,vent,il_at_eur,ventilateur,target,s,0.0,0,i,e,ventelateur,2,11
guérillero,guérillero,r,,guérillero,,guérillero,control,r,,7,e,a,guérillaro,0,10
ammortel,ammortel,prs,im,mort,el,immortel,target,p,0.0,0,i,a,ammortel,2,8
norral,norral,rs,,norm,al,normal,target,r,,3,m,r,norral,2,6
escormouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,3,a,o,escormouche,3,11
bachulier,bachelier,r,,bachelier,,bachelier,control,r,,4,e,u,bachulier,3,9
insonorité,insonorité,prss,in,son,or_ité,insonorité,target,s,1.0,0,i,a,insonoraté,0,10
vitalité,vitalité,rss,,vit,al_ité,vitalité,target,r,,1,i,e,vetalité,0,8
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,3,a,e,abrecadabra,0,11
catastrophe,catastrephe,r,,catastrophe,,catastrophe,control,r,,7,o,e,catastrephe,1,11
inapta,inapta,pr,in,apte,,inapte,target,r,,3,e,a,inapta,2,6
égulement,également,rs_long,,égale,ment,également,target,r,,2,a,u,égulement,3,9
traitement,troitement,rs_long,,traite,ment,traitement,target,r,,2,a,o,troitement,1,10
utilisateur,utilisateur,rsss,,util,is_at_eur,utilisateur,target,r,,1,t,b,ubilisateur,0,11
chérlatan,chérlatan,r,,charlatan,,charlatan,control,r,,2,a,é,chérlatan,2,9
apocalysse,apocalypse,r,,apocalypse,,apocalypse,control,r,,7,p,s,apocalysse,3,10
haillon,haillon,r,,haillon,,haillon,control,r,,5,o,a,haillan,0,7
