first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
sentiment,sentiment,rs_long,,senti,ment,sentiment,target,r,,2,n,r,sertiment,0,9
clavicule,clavicule,r,,clavicule,,clavicule,control,r,,8,e,a,clavicula,0,9
datastrophe,datastrophe,r,,catastrophe,,catastrophe,control,r,,0,c,d,datastrophe,2,11
redéfaire,redéfaire,ppr,re_dé,faire,,redéfaire,target,p,1.0,1,é,e,redefaire,0,9
chambronle,chambranle,r,,chambranle,,chambranle,control,r,,6,a,o,chambronle,3,10
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,10,a,e,abracadabre,0,11
cauchemar,cauchemar,r,,cauchemar,,cauchemar,control,r,,1,a,e,ceuchemar,0,9
étranger,étrangel,rs,,étrang,er,étranger,target,s,0.0,1,r,l,étrangel,1,8
corbillord,corbillard,r,,corbillard,,corbillard,control,r,,7,a,o,corbillord,3,10
coton,coton,r,,coton,,coton,control,r,,0,c,p,poton,0,5
beaucoup,beaucoup,r,,beaucoup,,beaucoup,control,r,,1,e,i,biaucoup,0,8
insonorité,insinorité,prss,in,son,or_ité,insonorité,target,r,,1,o,i,insinorité,1,10
activation,activation,rsss,,act,iv_at_ion,activation,target,r,,2,t,k,ackivation,0,10
désaccord,désaccird,pr_long,dés,accord,,désaccord,target,r,,3,o,i,désaccird,1,9
décision,désision,rs,,décis,ion,décision,target,r,,2,c,s,désision,1,8
imcrédulité,incrédulité,prss,in,créd,ul_ité,incrédulité,target,p,0.0,1,n,m,imcrédulité,3,11
minete,minute,r,,minute,,minute,control,r,,3,u,e,minete,3,6
impredent,imprudent,prs_long,im,prud,ent,imprudent,target,r,,2,u,e,impredent,3,9
chapelef,chapelet,r,,chapelet,,chapelet,control,r,,7,t,f,chapelef,3,8
conséqente,conséqence,rs_long,,conséq,ence,conséqence,target,s,0.0,2,c,t,conséqente,3,10
mortamité,mortalité,rss,,mort,al_ité,mortalité,target,s,0.0,1,l,m,mortamité,3,9
insouciant,insouciart,prs_long,in,souci,ant,insouciant,target,s,0.0,1,n,r,insouciart,1,10
persinne,persinne,r,,personne,,personne,control,r,,4,o,i,persinne,2,8
harburger,hamburger,r,,hamburger,,hamburger,control,r,,2,m,r,harburger,3,9
préve,prévu,pr,pré,vu,,prévu,target,r,,1,u,e,préve,3,5
synagogue,synagogue,r,,synagogue,,synagogue,control,r,,3,a,o,synogogue,0,9
redecouvne,redecouvne,ppr,re_de,couvre,,redecouvre,target,r,,4,r,n,redecouvne,2,10
sympa,snmpa,r,,sympa,,sympa,control,r,,1,y,n,snmpa,1,5
désespoir,disespoir,pr_long,dés,espoir,,désespoir,target,p,0.0,1,é,i,disespoir,1,9
banquise,banquise,r,,banquise,,banquise,control,r,,1,a,i,binquise,0,8
irprévu,imprévu,ppr,im_pré,vu,,imprévu,target,p,0.0,1,m,r,irprévu,3,7
harmonica,harmonica,r,,harmonica,,harmonica,control,r,,7,c,p,harmonipa,0,9
plisonnier,prisonnier,rs_long,,prisonn,ier,prisonnier,target,r,,1,r,l,plisonnier,3,10
praarie,prairie,r,,prairie,,prairie,control,r,,3,i,a,praarie,3,7
réalusateur,réalisateur,rsss,,réal,is_at_eur,réalisateur,target,s,0.0,0,i,u,réalusateur,3,11
