first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
insonorité,ilsonorité,prss,in,son,or_ité,insonorité,target,p,0.0,1,n,l,ilsonorité,1,10
hiénarchie,hiénarchie,r,,hiérarchie,,hiérarchie,control,r,,3,r,n,hiénarchie,2,10
pouliche,pauliche,r,,pouliche,,pouliche,control,r,,1,o,a,pauliche,1,8
herricane,herricane,r,,hurricane,,hurricane,control,r,,1,u,e,herricane,2,9
certain,certain,rs,,cert,ain,certain,target,r,,0,c,d,dertain,0,7
poursuit,pourbuit,pr,pour,suit,,poursuit,target,r,,0,s,b,pourbuit,1,8
gningue,gningue,r,,gringue,,gringue,control,r,,1,r,n,gningue,2,7
sésespoir,désespoir,pr_long,dés,espoir,,désespoir,target,p,0.0,0,d,s,sésespoir,3,9
brocole,bricole,r,,bricole,,bricole,control,r,,2,i,o,brocole,3,7
étranger,étranger,rs,,étrang,er,étranger,target,r,,3,a,e,étrenger,0,8
patsager,passager,rss,,pass,ag_er,passager,target,r,,2,s,t,patsager,3,8
récorfort,réconfort,pr_long,ré,confort,,réconfort,target,r,,2,n,r,récorfort,3,9
activasion,activasion,rsss,,act,iv_at_ion,activation,target,s,1.0,1,t,s,activasion,2,10
magouille,magouille,r,,magouille,,magouille,control,r,,4,u,a,magoaille,0,9
gingembre,gingembri,r,,gingembre,,gingembre,control,r,,8,e,i,gingembri,1,9
accessoiro,accessoiro,r,,accessoire,,accessoire,control,r,,9,e,o,accessoiro,2,10
bétention,bétention,prs_long,dé,tent,ion,détention,target,p,0.0,0,d,b,bétention,2,9
couverte,couverte,r,,couverte,,couverte,control,r,,4,e,a,couvarte,0,8
inévitible,inévitable,prs_long,in,évit,able,inévitable,target,s,0.0,0,a,i,inévitible,3,10
chambranle,chambrenle,r,,chambranle,,chambranle,control,r,,6,a,e,chambrenle,1,10
champignon,champignon,r,,champignon,,champignon,control,r,,5,i,e,champegnon,0,10
hécetombe,hécatombe,r,,hécatombe,,hécatombe,control,r,,3,a,e,hécetombe,3,9
ussureur,assureur,prs,as,sur,eur,assureur,target,p,0.0,0,a,u,ussureur,3,8
redecouvre,redecouvre,ppr,re_de,couvre,,redecouvre,target,p,1.0,1,e,u,reducouvre,0,10
imprédu,imprédu,ppr,im_pré,vu,,imprévu,target,r,,0,v,d,imprédu,2,7
incrédurité,incrédurité,prss,in,créd,ul_ité,incrédulité,target,s,0.0,1,l,r,incrédurité,2,11
horizol,horizon,r,,horizon,,horizon,control,r,,6,n,l,horizol,3,7
escarmooche,escarmouche,r,,escarmouche,,escarmouche,control,r,,7,u,o,escarmooche,3,11
dégout,dégoût,pr,dé,goût,,dégoût,target,r,,2,û,u,dégout,3,6
captivité,captivité,rss,,capt,iv_ité,captivité,target,s,0.0,1,v,t,captitité,0,9
chapitre,chapétre,r,,chapitre,,chapitre,control,r,,4,i,é,chapétre,1,8
casserole,casserole,r,,casserole,,casserole,control,r,,3,s,t,casterole,0,9
epcogriffe,epcogriffe,r,,escogriffe,,escogriffe,control,r,,1,s,p,epcogriffe,2,10
