first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
guimauvu,guimauve,r,,guimauve,,guimauve,control,r,,7,e,u,guimauvu,3,8
hurriqane,hurriqane,r,,hurricane,,hurricane,control,r,,5,c,q,hurriqane,2,9
olbital,orbital,rss,,orb,it_al,orbital,target,r,,1,r,l,olbital,3,7
geenon,guenon,r,,guenon,,guenon,control,r,,1,u,e,geenon,3,6
surpassi,surpassi,pr,sur,passe,,surpasse,target,r,,4,e,i,surpassi,2,8
calicature,caricature,r,,caricature,,caricature,control,r,,2,r,l,calicature,3,10
inaudible,inaudeble,prs_long,in,aud,ible,inaudible,target,s,0.0,0,i,e,inaudeble,1,9
trestige,trestige,r,,prestige,,prestige,control,r,,0,p,t,trestige,2,8
cotillon,catillon,r,,cotillon,,cotillon,control,r,,1,o,a,catillon,1,8
irréel,irréel,pr,ir,réel,,irréel,target,p,0.0,1,r,n,inréel,0,6
caoutccouc,caoutccouc,r,,caoutchouc,,caoutchouc,control,r,,6,h,c,caoutccouc,2,10
insonorité,insonerité,prss,in,son,or_ité,insonorité,target,s,0.0,0,o,e,insonerité,1,10
blistol,bristol,r,,bristol,,bristol,control,r,,1,r,l,blistol,3,7
labyrilthe,labyrinthe,r,,labyrinthe,,labyrinthe,control,r,,6,n,l,labyrilthe,3,10
grenouille,grenouille,r,,grenouille,,grenouille,control,r,,0,g,t,trenouille,0,10
paitrail,paitrail,r,,poitrail,,poitrail,control,r,,1,o,a,paitrail,2,8
guirlande,guirrande,r,,guirlande,,guirlande,control,r,,4,l,r,guirrande,1,9
réactiun,réaction,prs,ré,act,ion,réaction,target,s,0.0,1,o,u,réactiun,3,8
impulsic,impulsif,prs,im,puls,if,impulsif,target,s,0.0,1,f,c,impulsic,3,8
sexualite,sexualité,rss,,sex,ual_ité,sexualité,target,s,1.0,2,é,e,sexualite,3,9
holocauste,holocauste,r,,holocauste,,holocauste,control,r,,0,h,p,polocauste,0,10
redéfaere,redéfaere,ppr,re_dé,faire,,redéfaire,target,r,,2,i,e,redéfaere,2,9
nourriture,nourriture,rs_long,,nourrit,ure,nourriture,target,s,0.0,1,r,n,nourritune,0,10
chiquenauhe,chiquenauhe,r,,chiquenaude,,chiquenaude,control,r,,9,d,h,chiquenauhe,2,11
barbe,borbe,r,,barbe,,barbe,control,r,,1,a,o,borbe,1,5
créetivité,créativité,rsss,,cré,at_iv_ité,créativité,target,s,0.0,0,a,e,créetivité,3,10
français,françait,rs,,franç,ais,français,target,s,0.0,2,s,t,françait,1,8
parchemin,parchemin,r,,parchemin,,parchemin,control,r,,8,n,l,parchemil,0,9
imprévu,impravu,ppr,im_pré,vu,,imprévu,target,p,1.0,2,é,a,impravu,1,7
interphole,interphone,pr_long,inter,phone,,interphone,target,r,,3,n,l,interphole,3,10
enivrant,anivrant,prs,en,ivr,ant,enivrant,target,p,0.0,0,e,a,anivrant,1,8
amoureuse,amouruuse,rs_long,,amour,euse,amoureuse,target,s,0.0,0,e,u,amouruuse,1,9
chalpignon,champignon,r,,champignon,,champignon,control,r,,3,m,l,chalpignon,3,10
guérillero,guérillero,r,,guérillero,,guérillero,control,r,,3,r,l,guélillero,0,10
argentin,argentin,r,,argentin,,argentin,control,r,,2,g,q,arqentin,0,8
redacouvre,redecouvre,ppr,re_de,couvre,,redecouvre,target,p,1.0,1,e,a,redacouvre,3,10
ingériosité,ingéniosité,prss,in,gén,ios_ité,ingéniosité,target,r,,2,n,r,ingériosité,3,11
