first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
consensus,consendus,r,,consensus,,consensus,control,r,,6,s,d,consendus,1,9
redecouvre,reducouvre,ppr,re_de,couvre,,redecouvre,target,p,1.0,1,e,u,reducouvre,1,10
inaudible,inaadible,prs_long,in,aud,ible,inaudible,target,r,,1,u,a,inaadible,1,9
coussin,couvsin,r,,coussin,,coussin,control,r,,3,s,v,couvsin,1,7
caoutchouc,caautchouc,r,,caoutchouc,,caoutchouc,control,r,,2,o,a,caautchouc,1,10
magoaille,magouille,r,,magouille,,magouille,control,r,,4,u,a,magoaille,3,9
irpulsivité,irpulsivité,prss,im,puls,iv_ité,impulsivité,target,p,0.0,1,m,r,irpulsivité,2,11
bafouilla,bafouilla,r,,bafouilla,,bafouilla,control,r,,5,i,é,bafouélla,0,9
insenorité,insenorité,prss,in,son,or_ité,insonorité,target,r,,1,o,e,insenorité,2,10
problème,sroblème,r,,problème,,problème,control,r,,0,p,s,sroblème,1,8
élactrique,élactrique,rs_long,,électr,ique,électrique,target,r,,2,e,a,élactrique,2,10
blasphème,blasphème,r,,blasphème,,blasphème,control,r,,2,a,e,blesphème,0,9
holocauxte,holocauste,r,,holocauste,,holocauste,control,r,,7,s,x,holocauxte,3,10
imprévu,impréva,ppr,im_pré,vu,,imprévu,target,r,,1,u,a,impréva,1,7
lormalment,normalment,rss,,norm,al_ment,normalment,target,r,,0,n,l,lormalment,3,10
pivot,pivat,r,,pivot,,pivot,control,r,,3,o,a,pivat,1,5
destival,destival,rss,,fest,iv_al,festival,target,r,,0,f,d,destival,2,8
atteinte,otteinte,r,,atteinte,,atteinte,control,r,,0,a,o,otteinte,1,8
inefficace,inefficacu,pr_long,in,efficace,,inefficace,target,r,,7,e,u,inefficacu,1,10
ucage,ucage,rs,,us,age,usage,target,r,,1,s,c,ucage,2,5
libellule,libellule,r,,libellule,,libellule,control,r,,1,i,a,labellule,0,9
graftiti,graftiti,r,,graffiti,,graffiti,control,r,,4,f,t,graftiti,2,8
srévu,prévu,pr,pré,vu,,prévu,target,p,0.0,0,p,s,srévu,3,5
