first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
chiquenaude,chiquanaude,r,,chiquenaude,,chiquenaude,control,r,,5,e,a,chiquanaude,1,11
idéalisme,idéalisme,rss,,idé,al_isme,idéalisme,target,r,,1,d,c,icéalisme,0,9
aisselle,aistelle,r,,aisselle,,aisselle,control,r,,3,s,t,aistelle,1,8
synagogue,synagegue,r,,synagogue,,synagogue,control,r,,5,o,e,synagegue,1,9
eucalyptus,eucolyptus,r,,eucalyptus,,eucalyptus,control,r,,3,a,o,eucolyptus,1,10
poussière,poussière,r,,poussière,,poussière,control,r,,1,o,e,peussière,0,9
pourliche,poerliche,r,,pourliche,,pourliche,control,r,,2,u,e,poerliche,1,9
passager,passager,rss,,pass,ag_er,passager,target,r,,2,s,c,pacsager,0,8
labyrinthe,labyrinthe,r,,labyrinthe,,labyrinthe,control,r,,5,i,e,labyrenthe,0,10
asticot,asticot,r,,asticot,,asticot,control,r,,3,i,o,astocot,0,7
immortel,émmortel,prs,im,mort,el,immortel,target,p,0.0,0,i,é,émmortel,1,8
corniche,cornicho,r,,corniche,,corniche,control,r,,7,e,o,cornicho,1,8
rhinocéros,rhinocéros,r,,rhinocéros,,rhinocéros,control,r,,0,r,n,nhinocéros,0,10
apocalypse,apocalypse,r,,apocalypse,,apocalypse,control,r,,1,p,s,asocalypse,0,10
cotillon,votillon,r,,cotillon,,cotillon,control,r,,0,c,v,votillon,1,8
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,10,e,a,catastropha,0,11
incroyable,incruyable,prs_long,in,croy,able,incroyable,target,r,,2,o,u,incruyable,1,10
idéaliste,idéaliste,rss,,idé,al_iste,idéaliste,target,s,0.0,0,a,o,idéoliste,0,9
réconfort,réconfort,pr_long,ré,confort,,réconfort,target,r,,0,c,s,résonfort,0,9
cathédrale,cathédrali,r,,cathédrale,,cathédrale,control,r,,9,e,i,cathédrali,1,10
hiérarchie,hiérarchée,r,,hiérarchie,,hiérarchie,control,r,,8,i,é,hiérarchée,1,10
inaudible,inaudible,prs_long,in,aud,ible,inaudible,target,r,,2,d,c,inaucible,0,9
illégal,illésal,pr,il,légal,,illégal,target,r,,2,g,s,illésal,1,7
coqueluche,coqueliche,r,,coqueluche,,coqueluche,control,r,,6,u,i,coqueliche,1,10
assureur,àssureur,prs,as,sur,eur,assureur,target,p,0.0,0,a,à,àssureur,1,8
emballage,emballege,prs_long,em,ball,age,emballage,target,s,0.0,0,a,e,emballege,1,9
entrejambe,ensrejambe,pr_long,entre,jambe,,entrejambe,target,p,0.0,2,t,s,ensrejambe,1,10
reacteur,neacteur,prs,re,act,eur,reacteur,target,p,0.0,0,r,n,neacteur,1,8
