first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
ingéniosité,ingéniosité,prss,in,gén,ios_ité,ingéniosité,target,p,0.0,0,i,a,angéniosité,0,11
labyrinthe,labyrinthe,r,,labyrinthe,,labyrinthe,control,r,,5,i,u,labyrunthe,0,10
créativité,créativité,rsss,,cré,at_iv_ité,créativité,target,r,,0,c,h,hréativité,0,10
différent,différent,rs_long,,différ,ent,différent,target,s,0.0,1,n,m,différemt,0,9
carrosse,carrosse,r,,carrosse,,carrosse,control,r,,0,c,s,sarrosse,0,8
cramoisi,cramoisi,r,,cramoisi,,cramoisi,control,r,,0,c,s,sramoisi,0,8
accessoire,accessoire,r,,accessoire,,accessoire,control,r,,8,r,l,accessoile,0,10
murmure,murmure,r,,murmure,,murmure,control,r,,5,r,n,murmune,0,7
survie,survee,pr,sur,vie,,survie,target,r,,1,i,e,survee,1,6
imprévu,amprévu,ppr,im_pré,vu,,imprévu,target,p,0.0,0,i,a,amprévu,1,7
surnom,turnom,pr,sur,nom,,surnom,target,p,0.0,0,s,t,turnom,1,6
immortalité,immortalité,prss,im,mort,al_ité,immortalité,target,r,,2,r,j,immojtalité,0,11
reacteur,reacteur,prs,re,act,eur,reacteur,target,r,,0,a,é,reécteur,0,8
lieutenant,lieutenant,r,,lieutenant,,lieutenant,control,r,,9,t,c,lieutenanc,0,10
escarmouche,uscarmouche,r,,escarmouche,,escarmouche,control,r,,0,e,u,uscarmouche,1,11
infrarouge,infraroufe,pr_long,infra,rouge,,infrarouge,target,r,,3,g,f,infraroufe,1,10
position,positiom,rs,,posit,ion,position,target,s,0.0,2,n,m,positiom,1,8
bafouilla,bafouilla,r,,bafouilla,,bafouilla,control,r,,5,i,é,bafouélla,0,9
sexualité,sexualité,rss,,sex,ual_ité,sexualité,target,r,,2,x,t,setualité,0,9
manigance,maniganci,r,,manigance,,manigance,control,r,,8,e,i,maniganci,1,9
vitalité,vitalipé,rss,,vit,al_ité,vitalité,target,s,1.0,1,t,p,vitalipé,1,8
prisonnier,prisonniel,rs_long,,prisonn,ier,prisonnier,target,s,0.0,2,r,l,prisonniel,1,10
enveloppe,enveroppe,r,,enveloppe,,enveloppe,control,r,,4,l,r,enveroppe,1,9
liturgie,liturgoe,r,,liturgie,,liturgie,control,r,,6,i,o,liturgoe,1,8
couteau,couteau,r,,couteau,,couteau,control,r,,4,e,u,coutuau,0,7
abracadabra,abravadabra,r,,abracadabra,,abracadabra,control,r,,4,c,v,abravadabra,1,11
zigzag,zigzeg,r,,zigzag,,zigzag,control,r,,4,a,e,zigzeg,1,6
concombre,concombre,r,,concombre,,concombre,control,r,,0,c,t,toncombre,0,9
marché,malché,r,,marché,,marché,control,r,,2,r,l,malché,1,6
décision,décision,rs,,décis,ion,décision,target,s,0.0,2,n,l,décisiol,0,8
processus,prosessus,r,,processus,,processus,control,r,,3,c,s,prosessus,1,9
artise,artise,rs,,art,ise,artise,target,r,,2,t,c,arcise,0,6
irrégulier,imrégulier,prs_long,ir,régul,ier,irrégulier,target,p,0.0,1,r,m,imrégulier,1,10
décompose,décampose,pr_long,dé,compose,,décompose,target,r,,1,o,a,décampose,1,9
acquiesça,acduiesça,r,,acquiesça,,acquiesça,control,r,,2,q,d,acduiesça,1,9
caoutchouc,taoutchouc,r,,caoutchouc,,caoutchouc,control,r,,0,c,t,taoutchouc,1,10
assurance,asserance,prs_long,as,sur,ance,assurance,target,r,,1,u,e,asserance,1,9
pantoufle,pantoufle,r,,pantoufle,,pantoufle,control,r,,2,n,r,partoufle,0,9
chiquenaude,chiquenaude,r,,chiquenaude,,chiquenaude,control,r,,7,a,u,chiquenuude,0,11
sensualité,sensuayité,rss,,sensu,al_ité,sensualité,target,s,0.0,1,l,y,sensuayité,1,10
injustice,injustéce,prs_long,in,just,ice,injustice,target,s,0.0,0,i,é,injustéce,1,9
infortune,infortune,pr_long,in,fortune,,infortune,target,p,0.0,0,i,e,enfortune,0,9
catastrophe,catastropte,r,,catastrophe,,catastrophe,control,r,,9,h,t,catastropte,1,11
réalisateur,réalisateur,rsss,,réal,is_at_eur,réalisateur,target,s,0.0,0,i,e,réalesateur,0,11
redecouvre,redecouvre,ppr,re_de,couvre,,redecouvre,target,r,,2,u,e,redecoevre,0,10
poursuit,poursuit,pr,pour,suit,,poursuit,target,p,0.0,2,u,e,poersuit,0,8
pharaon,ptaraon,r,,pharaon,,pharaon,control,r,,1,h,t,ptaraon,1,7
contraire,contraire,rs_long,,contr,aire,contraire,target,s,0.0,1,i,a,contraare,0,9
