first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
haripot,haripot,r,,haricot,,haricot,control,r,,4,c,p,haripot,2,7
idaalisme,idaalisme,rss,,idé,al_isme,idéalisme,target,r,,2,é,a,idaalisme,2,9
lieutenant,lieutelant,r,,lieutenant,,lieutenant,control,r,,6,n,l,lieutelant,1,10
accessoire,accessoire,r,,accessoire,,accessoire,control,r,,2,c,d,acdessoire,0,10
reliure,reriure,prs,re,li,ure,reliure,target,r,,0,l,r,reriure,1,7
personnél,personnel,rs_long,,personn,el,personnel,target,s,0.0,0,e,é,personnél,3,9
incrédulité,incrédulité,prss,in,créd,ul_ité,incrédulité,target,r,,1,r,n,incnédulité,0,11
redéfaere,redéfaire,ppr,re_dé,faire,,redéfaire,target,r,,2,i,e,redéfaere,3,9
asticit,asticit,r,,asticot,,asticot,control,r,,5,o,i,asticit,2,7
sunnom,sunnom,pr,sur,nom,,surnom,target,p,0.0,2,r,n,sunnom,2,6
joeeur,joueur,rs,,jou,eur,joueur,target,r,,2,u,e,joeeur,3,6
vertilateur,ventilateur,rsss,,vent,il_at_eur,ventilateur,target,r,,2,n,r,vertilateur,3,11
illigal,illigal,pr,il,légal,,illégal,target,r,,1,é,i,illigal,2,7
guérillera,guérillera,r,,guérillero,,guérillero,control,r,,9,o,a,guérillera,2,10
cmavicule,clavicule,r,,clavicule,,clavicule,control,r,,1,l,m,cmavicule,3,9
dréativité,créativité,rsss,,cré,at_iv_ité,créativité,target,r,,0,c,d,dréativité,3,10
blaspcème,blasphème,r,,blasphème,,blasphème,control,r,,5,h,c,blaspcème,3,9
détentian,détentian,prs_long,dé,tent,ion,détention,target,s,0.0,1,o,a,détentian,2,9
sonseil,sonseil,r,,conseil,,conseil,control,r,,0,c,s,sonseil,2,7
ilprévu,imprévu,ppr,im_pré,vu,,imprévu,target,p,0.0,1,m,l,ilprévu,3,7
holocauste,holocauste,r,,holocauste,,holocauste,control,r,,8,t,v,holocausve,0,10
casserole,casserole,r,,casserole,,casserole,control,r,,8,e,i,casseroli,0,9
choucroéte,choucroéte,r,,choucroute,,choucroute,control,r,,7,u,é,choucroéte,2,10
éditarial,éditarial,rss,,édit,or_ial,éditorial,target,s,0.0,0,o,a,éditarial,2,9
guinleret,guilleret,r,,guilleret,,guilleret,control,r,,3,l,n,guinleret,3,9
vhimpanzé,chimpanzé,r,,chimpanzé,,chimpanzé,control,r,,0,c,v,vhimpanzé,3,9
poulivhe,pouliche,r,,pouliche,,pouliche,control,r,,5,c,v,poulivhe,3,8
finalité,finalité,rss,,fin,al_ité,finalité,target,s,1.0,2,é,i,finaliti,0,8
impulsif,impulsif,prs,im,puls,if,impulsif,target,s,0.0,0,i,a,impulsaf,0,8
redecouvre,redecoevre,ppr,re_de,couvre,,redecouvre,target,r,,2,u,e,redecoevre,1,10
eucalyptus,eucolyptus,r,,eucalyptus,,eucalyptus,control,r,,3,a,o,eucolyptus,1,10
concombre,concombru,r,,concombre,,concombre,control,r,,8,e,u,concombru,1,9
doshonneur,doshonneur,pr_long,dés,honneur,,déshonneur,target,p,0.0,1,é,o,doshonneur,2,10
catassrophe,catassrophe,r,,catastrophe,,catastrophe,control,r,,5,t,s,catassrophe,2,11
couteau,couteau,r,,couteau,,couteau,control,r,,2,u,a,coateau,0,7
réacsion,réaction,prs,ré,act,ion,réaction,target,r,,2,t,s,réacsion,3,8
gouaille,gouaille,r,,gouaille,,gouaille,control,r,,1,o,i,giuaille,0,8
transporte,transporte,pr_long,trans,porte,,transporte,target,r,,3,t,c,transporce,0,10
clandestin,clancestin,r,,clandestin,,clandestin,control,r,,4,d,c,clancestin,1,10
électrique,électriqee,rs_long,,électr,ique,électrique,target,s,0.0,2,u,e,électriqee,1,10
inofvensif,inoffensif,prs_long,in,offens,if,inoffensif,target,r,,2,f,v,inofvensif,3,10
réanisation,réanisation,rsss,,réal,is_at_ion,réalisation,target,r,,3,l,n,réanisation,2,11
incorrect,incorrect,pr_long,in,correct,,incorrect,target,p,0.0,0,i,u,uncorrect,0,9
hibiscus,hibiscus,r,,hibiscus,,hibiscus,control,r,,4,s,c,hibiccus,0,8
pilule,piluli,r,,pilule,,pilule,control,r,,5,e,i,piluli,1,6
ilsouciant,insouciant,prs_long,in,souci,ant,insouciant,target,p,0.0,1,n,l,ilsouciant,3,10
véhicule,véhicule,r,,véhicule,,véhicule,control,r,,3,i,e,véhecule,0,8
chiquenaude,chiquenaude,r,,chiquenaude,,chiquenaude,control,r,,5,e,é,chiquénaude,0,11
position,posation,rs,,posit,ion,position,target,r,,3,i,a,posation,1,8
etcarmouche,etcarmouche,r,,escarmouche,,escarmouche,control,r,,1,s,t,etcarmouche,2,11
