first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
ancertain,incertain,prs_long,in,cert,ain,incertain,target,p,0.0,0,i,a,ancertain,3,9
surenchère,purenchère,ppr,sur_en,chère,,surenchère,target,p,0.0,0,s,p,purenchère,1,10
onsonorité,onsonorité,prss,in,son,or_ité,insonorité,target,p,0.0,0,i,o,onsonorité,2,10
cotillon,cetillon,r,,cotillon,,cotillon,control,r,,1,o,e,cetillon,1,8
rossigrol,rossigrol,r,,rossignol,,rossignol,control,r,,6,n,r,rossigrol,2,9
escogriffe,escogriffe,r,,escogriffe,,escogriffe,control,r,,8,f,d,escogrifde,0,10
service,service,rs,,serv,ice,service,target,r,,1,e,o,sorvice,0,7
bourran,bourran,r,,bourrin,,bourrin,control,r,,5,i,a,bourran,2,7
cassemole,casserole,r,,casserole,,casserole,control,r,,5,r,m,cassemole,3,9
eucalyptas,eucalyptas,r,,eucalyptus,,eucalyptus,control,r,,8,u,a,eucalyptas,2,10
abracadabra,abracedabra,r,,abracadabra,,abracadabra,control,r,,5,a,e,abracedabra,1,11
dicompose,dicompose,pr_long,dé,compose,,décompose,target,p,0.0,1,é,i,dicompose,2,9
pochetron,cochetron,r,,pochetron,,pochetron,control,r,,0,p,c,cochetron,1,9
immortel,immortel,prs,im,mort,el,immortel,target,s,0.0,0,e,i,immortil,0,8
catastrophe,catascrophe,r,,catastrophe,,catastrophe,control,r,,5,t,c,catascrophe,1,11
insoaciant,insouciant,prs_long,in,souci,ant,insouciant,target,r,,2,u,a,insoaciant,3,10
éditorial,éditorial,rss,,édit,or_ial,éditorial,target,s,1.0,1,a,i,éditoriil,0,9
gruyère,grayère,r,,gruyère,,gruyère,control,r,,2,u,a,grayère,1,7
moueur,joueur,rs,,jou,eur,joueur,target,r,,0,j,m,moueur,3,6
fésaccord,fésaccord,pr_long,dés,accord,,désaccord,target,p,0.0,0,d,f,fésaccord,2,9
plant,plant,r,,plant,,plant,control,r,,4,t,p,planp,0,5
conséqence,conséqencu,rs_long,,conséq,ence,conséqence,target,s,0.0,3,e,u,conséqencu,1,10
relid,relid,pr,re,lit,,relit,target,r,,2,t,d,relid,2,5
contrevœur,contrecœur,pr_long,contre,cœur,,contrecœur,target,r,,0,c,v,contrevœur,3,10
urgence,urdence,rs,,urg,ence,urgence,target,r,,2,g,d,urdence,1,7
pesanteur,sesanteur,rss,,pes,ant_eur,pesanteur,target,r,,0,p,s,sesanteur,1,9
anbassade,anbassade,r,,ambassade,,ambassade,control,r,,1,m,n,anbassade,2,9
huritanisme,puritanisme,rsss,,pur,it_an_isme,puritanisme,target,r,,0,p,h,huritanisme,3,11
américuin,américuin,rs_long,,améric,ain,américain,target,s,0.0,0,a,u,américuin,2,9
irrégulier,inrégulier,prs_long,ir,régul,ier,irrégulier,target,p,0.0,1,r,n,inrégulier,1,10
immortalito,immortalité,prss,im,mort,al_ité,immortalité,target,s,1.0,2,é,o,immortalito,3,11
