first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
renégat,ranégat,prs,re,nég,at,renégat,target,p,0.0,1,e,a,ranégat,1,7
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,7,a,e,abracadebra,0,11
créativité,créativité,rsss,,cré,at_iv_ité,créativité,target,r,,0,c,p,préativité,0,10
visibilité,visibilité,rss,,vis,ibil_ité,visibilité,target,r,,1,i,e,vesibilité,0,10
désespoir,désespoir,pr_long,dés,espoir,,désespoir,target,r,,0,e,u,désuspoir,0,9
insouciant,insouciant,prs_long,in,souci,ant,insouciant,target,s,0.0,2,t,s,insoucians,0,10
habitacle,habitacle,r,,habitacle,,habitacle,control,r,,3,i,e,habetacle,0,9
eucalyptus,eucalnptus,r,,eucalyptus,,eucalyptus,control,r,,5,y,n,eucalnptus,1,10
entrejambe,entremambe,pr_long,entre,jambe,,entrejambe,target,r,,0,j,m,entremambe,1,10
escarmouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,2,c,t,estarmouche,0,11
seulement,seulement,rs_long,,seule,ment,seulement,target,s,0.0,3,t,s,seulemens,0,9
mortalité,mortalité,rss,,mort,al_ité,mortalité,target,r,,0,m,l,lortalité,0,9
redecouvre,rêdecouvre,ppr,re_de,couvre,,redecouvre,target,p,0.0,1,e,ê,rêdecouvre,1,10
immortalité,immortalité,prss,im,mort,al_ité,immortalité,target,p,0.0,0,i,e,emmortalité,0,11
caractère,varactère,r,,caractère,,caractère,control,r,,0,c,v,varactère,1,9
simplement,simplelent,rs_long,,simple,ment,simplement,target,s,0.0,0,m,l,simplelent,1,10
corbeau,corbeau,r,,corbeau,,corbeau,control,r,,6,u,o,corbeao,0,7
activation,activation,rsss,,act,iv_at_ion,activation,target,s,1.0,1,t,c,activacion,0,10
reliure,reliure,prs,re,li,ure,reliure,target,p,0.0,0,r,n,neliure,0,7
pétanque,pétanque,r,,pétanque,,pétanque,control,r,,7,e,è,pétanquè,0,8
surpasse,surpasfe,pr,sur,passe,,surpasse,target,r,,3,s,f,surpasfe,1,8
bronche,bronqhe,r,,bronche,,bronche,control,r,,4,c,q,bronqhe,1,7
dérision,dérition,prs,dé,ris,ion,dérision,target,r,,2,s,t,dérition,1,8
rhinocéros,rhinocélos,r,,rhinocéros,,rhinocéros,control,r,,7,r,l,rhinocélos,1,10
choucroute,choicroute,r,,choucroute,,choucroute,control,r,,3,u,i,choicroute,1,10
phase,psase,r,,phase,,phase,control,r,,1,h,s,psase,1,5
vraiment,vraiment,rs,,vrai,ment,vraiment,target,r,,0,v,s,sraiment,0,8
redéfaire,radéfaire,ppr,re_dé,faire,,redéfaire,target,p,0.0,1,e,a,radéfaire,1,9
chiquenaude,chiquenaude,r,,chiquenaude,,chiquenaude,control,r,,8,u,e,chiquenaede,0,11
poitrail,poitrair,r,,poitrail,,poitrail,control,r,,7,l,r,poitrair,1,8
impulsivité,irpulsivité,prss,im,puls,iv_ité,impulsivité,target,p,0.0,1,m,r,irpulsivité,1,11
cathédrale,cathédrale,r,,cathédrale,,cathédrale,control,r,,4,é,a,cathadrale,0,10
clandestin,clandessin,r,,clandestin,,clandestin,control,r,,7,t,s,clandessin,1,10
tueur,tueer,rs,,tu,eur,tueur,target,s,0.0,1,u,e,tueer,1,5
cachemire,cacdemire,r,,cachemire,,cachemire,control,r,,3,h,d,cacdemire,1,9
herbe,herbe,r,,herbe,,herbe,control,r,,2,r,j,hejbe,0,5
cellophane,cerlophane,r,,cellophane,,cellophane,control,r,,2,l,r,cerlophane,1,10
ventilation,ventilavion,rsss,,vent,il_at_ion,ventilation,target,s,1.0,1,t,v,ventilavion,1,11
couvercle,couvercle,r,,couvercle,,couvercle,control,r,,6,c,s,couversle,0,9
pantomime,pantomime,r,,pantomime,,pantomime,control,r,,2,n,l,paltomime,0,9
incrédulité,incréduliqé,prss,in,créd,ul_ité,incrédulité,target,s,1.0,1,t,q,incréduliqé,1,11
guérillero,guérillero,r,,guérillero,,guérillero,control,r,,0,g,s,suérillero,0,10
imbattable,imbattable,prs_long,im,batt,able,imbattable,target,s,0.0,3,e,u,imbattablu,0,10
injustice,inrustice,prs_long,in,just,ice,injustice,target,r,,0,j,r,inrustice,1,9
sensualité,sensuajité,rss,,sensu,al_ité,sensualité,target,s,0.0,1,l,j,sensuajité,1,10
recouverte,recouverte,pr_long,re,couverte,,recouverte,target,r,,0,c,v,revouverte,0,10
blague,blegue,r,,blague,,blague,control,r,,2,a,e,blegue,1,6
surenchère,surendhère,ppr,sur_en,chère,,surenchère,target,r,,0,c,d,surendhère,1,10
ribambelle,ribambelme,r,,ribambelle,,ribambelle,control,r,,8,l,m,ribambelme,1,10
usage,usate,rs,,us,age,usage,target,s,0.0,1,g,t,usate,1,5
détour,détour,pr,dé,tour,,détour,target,r,,3,r,l,détoul,0,6
catastrophe,qatastrophe,r,,catastrophe,,catastrophe,control,r,,0,c,q,qatastrophe,1,11
griffon,griffon,r,,griffon,,griffon,control,r,,6,n,r,griffor,0,7
holocauste,holocauste,r,,holocauste,,holocauste,control,r,,7,s,h,holocauhte,0,10
copyright,cofyright,r,,copyright,,copyright,control,r,,2,p,f,cofyright,1,9
diaphragme,diaphragme,r,,diaphragme,,diaphragme,control,r,,3,p,v,diavhragme,0,10
pingouin,gingouin,r,,pingouin,,pingouin,control,r,,0,p,g,gingouin,1,8
escogriffe,escogriffe,r,,escogriffe,,escogriffe,control,r,,1,s,k,ekcogriffe,0,10
