first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
ambassade,ambassade,r,,ambassade,,ambassade,control,r,,6,a,e,ambassede,0,9
redéfaire,redéfaire,ppr,re_dé,faire,,redéfaire,target,r,,2,i,e,redéfaere,0,9
bourgeron,bourgerol,r,,bourgeron,,bourgeron,control,r,,8,n,l,bourgerol,1,9
incrédulité,incradulité,prss,in,créd,ul_ité,incrédulité,target,r,,2,é,a,incradulité,1,11
irrégulier,irrégulier,prs_long,ir,régul,ier,irrégulier,target,p,0.0,0,i,e,errégulier,0,10
ventilation,ventilation,rsss,,vent,il_at_ion,ventilation,target,r,,2,n,m,vemtilation,0,11
dévotion,dévotion,prs,dé,vot,ion,dévotion,target,p,0.0,0,d,s,sévotion,0,8
godet,godit,r,,godet,,godet,control,r,,3,e,i,godit,1,5
selle,sello,r,,selle,,selle,control,r,,4,e,o,sello,1,5
escarmouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,7,u,a,escarmoache,0,11
cappuccino,caspuccino,r,,cappuccino,,cappuccino,control,r,,2,p,s,caspuccino,1,10
cauchemar,cauctemar,r,,cauchemar,,cauchemar,control,r,,4,h,t,cauctemar,1,9
problème,ploblème,r,,problème,,problème,control,r,,1,r,l,ploblème,1,8
haricot,haricot,r,,haricot,,haricot,control,r,,1,a,o,horicot,0,7
corridor,corridor,r,,corridor,,corridor,control,r,,5,d,b,corribor,0,8
pantoufle,tantoufle,r,,pantoufle,,pantoufle,control,r,,0,p,t,tantoufle,1,9
diaphragme,diaphragme,r,,diaphragme,,diaphragme,control,r,,6,a,è,diaphrègme,0,10
gnome,glome,r,,gnome,,gnome,control,r,,1,n,l,glome,1,5
bronche,bronche,r,,bronche,,bronche,control,r,,1,r,n,bnonche,0,7
hâtif,hâtef,rs,,hât,if,hâtif,target,s,0.0,0,i,e,hâtef,1,5
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,9,h,d,catastropde,0,11
rhinocéros,rhinocérop,r,,rhinocéros,,rhinocéros,control,r,,9,s,p,rhinocérop,1,10
différent,différent,rs_long,,différ,ent,différent,target,s,0.0,0,e,a,différant,0,9
totalement,totalement,rs_long,,totale,ment,totalement,target,s,0.0,2,n,l,totalemelt,0,10
reliure,meliure,prs,re,li,ure,reliure,target,p,0.0,0,r,m,meliure,1,7
voiture,voiture,r,,voiture,,voiture,control,r,,4,u,e,voitere,0,7
indiscret,undiscret,pr_long,in,discret,,indiscret,target,p,0.0,0,i,u,undiscret,1,9
enfui,enfuu,pr,en,fui,,enfui,target,r,,2,i,u,enfuu,1,5
tintamarre,tintamarre,r,,tintamarre,,tintamarre,control,r,,9,e,a,tintamarra,0,10
concombre,concombre,r,,concombre,,concombre,control,r,,3,c,s,consombre,0,9
bourgogne,boargogne,r,,bourgogne,,bourgogne,control,r,,2,u,a,boargogne,1,9
matraque,matraque,r,,matraque,,matraque,control,r,,1,a,u,mutraque,0,8
imprévu,imprédu,ppr,im_pré,vu,,imprévu,target,r,,0,v,d,imprédu,1,7
sarabande,sarabande,r,,sarabande,,sarabande,control,r,,2,r,n,sanabande,0,9
sexualité,secualité,rss,,sex,ual_ité,sexualité,target,r,,2,x,c,secualité,1,9
tueur,tueuj,rs,,tu,eur,tueur,target,s,0.0,2,r,j,tueuj,1,5
assureur,assureur,prs,as,sur,eur,assureur,target,s,0.0,2,r,n,assureun,0,8
inaudible,inaudible,prs_long,in,aud,ible,inaudible,target,r,,1,u,e,inaedible,0,9
relit,rilit,pr,re,lit,,relit,target,p,0.0,1,e,i,rilit,1,5
recouvert,racouvert,pr_long,re,couvert,,recouvert,target,p,0.0,1,e,a,racouvert,1,9
sentiment,sentiment,rs_long,,senti,ment,sentiment,target,s,0.0,2,n,l,sentimelt,0,9
finalment,finalment,rss,,fin,al_ment,finalment,target,r,,2,n,l,filalment,0,9
refaire,refaire,pr,re,faire,,refaire,target,p,0.0,1,e,a,rafaire,0,7
inoffensif,anoffensif,prs_long,in,offens,if,inoffensif,target,p,0.0,0,i,a,anoffensif,1,10
festival,festivol,rss,,fest,iv_al,festival,target,s,1.0,0,a,o,festivol,1,8
chiquenaude,chiquenaude,r,,chiquenaude,,chiquenaude,control,r,,9,d,t,chiquenaute,0,11
grenouille,grenouinle,r,,grenouille,,grenouille,control,r,,7,l,n,grenouinle,1,10
bristol,bristol,r,,bristol,,bristol,control,r,,2,i,â,brâstol,0,7
surenchère,surenchère,ppr,sur_en,chère,,surenchère,target,r,,2,è,a,surenchare,0,10
corbillard,corbillard,r,,corbillard,,corbillard,control,r,,2,r,l,colbillard,0,10
abracadabra,ibracadabra,r,,abracadabra,,abracadabra,control,r,,0,a,i,ibracadabra,1,11
poussière,puussière,r,,poussière,,poussière,control,r,,1,o,u,puussière,1,9
service,servace,rs,,serv,ice,service,target,s,0.0,0,i,a,servace,1,7
créativité,créativeté,rsss,,cré,at_iv_ité,créativité,target,s,2.0,0,i,e,créativeté,1,10
impulsivité,impelsivité,prss,im,puls,iv_ité,impulsivité,target,r,,1,u,e,impelsivité,1,11
activation,activation,rsss,,act,iv_at_ion,activation,target,r,,1,c,s,astivation,0,10
découvert,découvert,pr_long,dé,couvert,,découvert,target,p,0.0,1,é,e,decouvert,0,9
langouste,langâuste,r,,langouste,,langouste,control,r,,4,o,â,langâuste,1,9
aussi,uussi,r,,aussi,,aussi,control,r,,0,a,u,uussi,1,5
ingéniosité,ingéniosité,prss,in,gén,ios_ité,ingéniosité,target,r,,0,g,t,inténiosité,0,11
