first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
chiqueneude,chiqueneude,r,,chiquenaude,,chiquenaude,control,r,,7,a,e,chiqueneude,2,11
vraimont,vraiment,rs,,vrai,ment,vraiment,target,s,0.0,1,e,o,vraimont,3,8
rhinocélos,rhinocélos,r,,rhinocéros,,rhinocéros,control,r,,7,r,l,rhinocélos,2,10
activatiol,activatiol,rsss,,act,iv_at_ion,activation,target,s,2.0,2,n,l,activatiol,2,10
caoutchouc,taoutchouc,r,,caoutchouc,,caoutchouc,control,r,,0,c,t,taoutchouc,1,10
guitaro,guitaro,r,,guitare,,guitare,control,r,,6,e,o,guitaro,2,7
escarmouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,5,m,n,escarnouche,0,11
redéfaire,ledéfaire,ppr,re_dé,faire,,redéfaire,target,p,0.0,0,r,l,ledéfaire,1,9
irréel,irméel,pr,ir,réel,,irréel,target,r,,0,r,m,irméel,1,6
impunité,impunitê,prs,im,pun,ité,impunité,target,s,0.0,2,é,ê,impunitê,1,8
suicide,suicide,r,,suicide,,suicide,control,r,,0,s,d,duicide,0,7
labyrinthe,labyrinthe,r,,labyrinthe,,labyrinthe,control,r,,6,n,r,labyrirthe,0,10
transporte,transporte,pr_long,trans,porte,,transporte,target,p,0.0,3,n,l,tralsporte,0,10
différenco,différenco,rs_long,,différ,ence,différence,target,s,0.0,3,e,o,différenco,2,10
qonorité,qonorité,rss,,son,or_ité,sonorité,target,r,,0,s,q,qonorité,2,8
tourbillon,tourbillon,r,,tourbillon,,tourbillon,control,r,,2,u,i,toirbillon,0,10
exactemenq,exactement,rs_long,,exacte,ment,exactement,target,s,0.0,3,t,q,exactemenq,3,10
impursif,impulsif,prs,im,puls,if,impulsif,target,r,,2,l,r,impursif,3,8
ainsi,ainsi,r,,ainsi,,ainsi,control,r,,2,n,r,airsi,0,5
conquête,conpuête,r,,conquête,,conquête,control,r,,3,q,p,conpuête,1,8
tueur,tueur,rs,,tu,eur,tueur,target,s,0.0,1,u,e,tueer,0,5
guinleret,guinleret,r,,guilleret,,guilleret,control,r,,3,l,n,guinleret,2,9
holocaufte,holocaufte,r,,holocauste,,holocauste,control,r,,7,s,f,holocaufte,2,10
miberté,miberté,rs,,liber,té,liberté,target,r,,0,l,m,miberté,2,7
incrédulité,incrédumité,prss,in,créd,ul_ité,incrédulité,target,s,0.0,1,l,m,incrédumité,1,11
catistrophe,catistrophe,r,,catastrophe,,catastrophe,control,r,,3,a,i,catistrophe,2,11
remet,remot,pr,re,met,,remet,target,r,,1,e,o,remot,1,5
frenouille,grenouille,r,,grenouille,,grenouille,control,r,,0,g,f,frenouille,3,10
capharnaüm,cipharnaüm,r,,capharnaüm,,capharnaüm,control,r,,1,a,i,cipharnaüm,1,10
instable,instable,pr,in,stable,,instable,target,p,0.0,0,i,e,enstable,0,8
entrejamte,entrejambe,pr_long,entre,jambe,,entrejambe,target,r,,3,b,t,entrejamte,3,10
cappuccino,cappuccino,r,,cappuccino,,cappuccino,control,r,,1,a,i,cippuccino,0,10
décampose,décompose,pr_long,dé,compose,,décompose,target,r,,1,o,a,décampose,3,9
imprépu,imprévu,ppr,im_pré,vu,,imprévu,target,r,,0,v,p,imprépu,3,7
abracadabra,abracadacra,r,,abracadabra,,abracadabra,control,r,,8,b,c,abracadacra,1,11
angoissé,angoisse,r,,angoisse,,angoisse,control,r,,7,e,é,angoissé,3,8
dérision,sérision,prs,dé,ris,ion,dérision,target,p,0.0,0,d,s,sérision,1,8
immojtalité,immojtalité,prss,im,mort,al_ité,immortalité,target,r,,2,r,j,immojtalité,2,11
hanneton,hanneton,r,,hanneton,,hanneton,control,r,,7,n,l,hannetol,0,8
leulre,leurre,r,,leurre,,leurre,control,r,,3,r,l,leulre,3,6
enlèvament,enlèvement,prs_long,en,lève,ment,enlèvement,target,r,,3,e,a,enlèvament,3,10
clavecule,clavecule,r,,clavicule,,clavicule,control,r,,4,i,e,clavecule,2,9
mogouille,mogouille,r,,magouille,,magouille,control,r,,1,a,o,mogouille,2,9
champignon,shampignon,r,,champignon,,champignon,control,r,,0,c,s,shampignon,1,10
créativité,créativité,rsss,,cré,at_iv_ité,créativité,target,s,1.0,0,i,o,créatovité,0,10
langoucte,langouste,r,,langouste,,langouste,control,r,,6,s,c,langoucte,3,9
bataillu,bataillu,r,,bataille,,bataille,control,r,,7,e,u,bataillu,2,8
insouciant,insouciant,prs_long,in,souci,ant,insouciant,target,s,0.0,0,a,o,insouciont,0,10
impulsivité,impolsivité,prss,im,puls,iv_ité,impulsivité,target,r,,1,u,o,impolsivité,1,11
neutralité,neutralité,rss,,neutr,al_ité,neutralité,target,r,,2,u,e,neetralité,0,10
poubellu,poubellu,r,,poubelle,,poubelle,control,r,,7,e,u,poubellu,2,8
caricature,ciricature,r,,caricature,,caricature,control,r,,1,a,i,ciricature,1,10
passagey,passagey,rss,,pass,ag_er,passager,target,s,1.0,1,r,y,passagey,2,8
burletin,bulletin,r,,bulletin,,bulletin,control,r,,2,l,r,burletin,3,8
imprudent,impnudent,prs_long,im,prud,ent,imprudent,target,r,,1,r,n,impnudent,1,9
redecouvre,redecouvre,ppr,re_de,couvre,,redecouvre,target,p,1.0,1,e,i,redicouvre,0,10
moule,meule,r,,moule,,moule,control,r,,1,o,e,meule,1,5
plustron,plastron,r,,plastron,,plastron,control,r,,2,a,u,plustron,3,8
sentiment,sentirent,rs_long,,senti,ment,sentiment,target,s,0.0,0,m,r,sentirent,1,9
ventilatien,ventilation,rsss,,vent,il_at_ion,ventilation,target,s,2.0,1,o,e,ventilatien,3,11
