first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
hibiscus,hibiscus,r,,hibiscus,,hibiscus,control,r,,5,c,t,hibistus,0,8
empensable,empensable,prs_long,im,pens,able,impensable,target,p,0.0,0,i,e,empensable,2,10
embanlage,embanlage,prs_long,em,ball,age,emballage,target,r,,2,l,n,embanlage,2,9
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,8,p,s,catastroshe,0,11
lieutenant,lieutenant,r,,lieutenant,,lieutenant,control,r,,5,e,u,lieutunant,0,10
desordre,desordre,pr,dés,ordre,,désordre,target,p,0.0,1,é,e,desordre,2,8
cantouche,cartouche,r,,cartouche,,cartouche,control,r,,2,r,n,cantouche,3,9
incorrect,incorrect,pr_long,in,correct,,incorrect,target,p,0.0,1,n,l,ilcorrect,0,9
ribambelle,ribambelle,r,,ribambelle,,ribambelle,control,r,,6,e,u,ribambulle,0,10
égalisateur,égalisateur,rsss,,égal,is_at_eur,égalisateur,target,r,,2,a,o,égolisateur,0,11
horloge,horloge,r,,horloge,,horloge,control,r,,0,h,s,sorloge,0,7
nelit,nelit,pr,re,lit,,relit,target,p,0.0,0,r,n,nelit,2,5
poney,ponuy,r,,poney,,poney,control,r,,3,e,u,ponuy,1,5
reacteur,reacteur,prs,re,act,eur,reacteur,target,p,0.0,0,r,m,meacteur,0,8
gourmand,gourmind,r,,gourmand,,gourmand,control,r,,5,a,i,gourmind,1,8
harmonica,harmanica,r,,harmonica,,harmonica,control,r,,4,o,a,harmanica,1,9
redeceuvre,redecouvre,ppr,re_de,couvre,,redecouvre,target,r,,1,o,e,redeceuvre,3,10
sortio,sortie,rs,,sort,ie,sortie,target,s,0.0,1,e,o,sortio,3,6
totalement,totalement,rs_long,,totale,ment,totalement,target,r,,0,t,d,dotalement,0,10
idéalisme,idéulisme,rss,,idé,al_isme,idéalisme,target,s,0.0,0,a,u,idéulisme,1,9
arône,arône,r,,arôme,,arôme,control,r,,3,m,n,arône,2,5
brioche,brioche,r,,brioche,,brioche,control,r,,3,o,é,briéche,0,7
coqueluche,coquelucçe,r,,coqueluche,,coqueluche,control,r,,8,h,ç,coquelucçe,1,10
barricade,balricade,r,,barricade,,barricade,control,r,,2,r,l,balricade,1,9
vaisselle,vaissella,r,,vaisselle,,vaisselle,control,r,,8,e,a,vaissella,1,9
conteil,conteil,r,,conseil,,conseil,control,r,,3,s,t,conteil,2,7
chituenaude,chiquenaude,r,,chiquenaude,,chiquenaude,control,r,,3,q,t,chituenaude,3,11
orbital,orbital,rss,,orb,it_al,orbital,target,s,0.0,0,i,u,orbutal,0,7
casserole,cassenole,r,,casserole,,casserole,control,r,,5,r,n,cassenole,1,9
nuscade,nuscade,r,,muscade,,muscade,control,r,,0,m,n,nuscade,2,7
seulemint,seulemint,rs_long,,seule,ment,seulement,target,s,0.0,1,e,i,seulemint,2,9
noerriture,nourriture,rs_long,,nourrit,ure,nourriture,target,r,,2,u,e,noerriture,3,10
désoccord,désaccord,pr_long,dés,accord,,désaccord,target,r,,0,a,o,désoccord,3,9
hierarchie,hierarchie,r,,hiérarchie,,hiérarchie,control,r,,2,é,e,hierarchie,2,10
malin,marin,rs,,mal,in,malin,target,r,,2,l,r,marin,1,5
sensualité,sensualité,rss,,sensu,al_ité,sensualité,target,r,,0,s,t,tensualité,0,10
ilpulsivité,ilpulsivité,prss,im,puls,iv_ité,impulsivité,target,p,0.0,1,m,l,ilpulsivité,2,11
impréxu,impréxu,ppr,im_pré,vu,,imprévu,target,r,,0,v,x,impréxu,2,7
acqessoire,acqessoire,r,,accessoire,,accessoire,control,r,,2,c,q,acqessoire,2,10
poitrine,poitrinu,r,,poitrine,,poitrine,control,r,,7,e,u,poitrinu,1,8
guérillero,guérillero,r,,guérillero,,guérillero,control,r,,9,o,e,guérillere,0,10
gyenouille,grenouille,r,,grenouille,,grenouille,control,r,,1,r,y,gyenouille,3,10
rémarque,remarque,pr,re,marque,,remarque,target,p,0.0,1,e,é,rémarque,3,8
zodioque,zodiaque,r,,zodiaque,,zodiaque,control,r,,4,a,o,zodioque,3,8
inhabituel,inhabituel,prs_long,in,habitu,el,inhabituel,target,s,0.0,1,l,r,inhabituer,0,10
abnacadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,2,r,n,abnacadabra,3,11
créativité,créativité,rsss,,cré,at_iv_ité,créativité,target,s,1.0,1,v,s,créatisité,0,10
poulpe,poulpe,r,,poulpe,,poulpe,control,r,,4,p,s,poulse,0,6
ebcarmouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,1,s,b,ebcarmouche,3,11
luberté,liberté,rs,,liber,té,liberté,target,r,,1,i,u,luberté,3,7
impossible,impossible,pr_long,im,possible,,impossible,target,r,,7,e,a,impossibla,0,10
cérémonie,cérémonie,r,,cérémonie,,cérémonie,control,r,,0,c,v,vérémonie,0,9
meliure,meliure,prs,re,li,ure,reliure,target,p,0.0,0,r,m,meliure,2,7
incrédulita,incrédulité,prss,in,créd,ul_ité,incrédulité,target,s,1.0,2,é,a,incrédulita,3,11
impumité,impumité,prs,im,pun,ité,impunité,target,r,,2,n,m,impumité,2,8
tintamarre,tintamarre,r,,tintamarre,,tintamarre,control,r,,3,t,h,tinhamarre,0,10
ingéniosité,ingéniositu,prss,in,gén,ios_ité,ingéniosité,target,s,1.0,2,é,u,ingéniositu,1,11
redéfaile,redéfaile,ppr,re_dé,faire,,redéfaire,target,r,,3,r,l,redéfaile,2,9
eucilyptus,eucilyptus,r,,eucalyptus,,eucalyptus,control,r,,3,a,i,eucilyptus,2,10
activation,activation,rsss,,act,iv_at_ion,activation,target,s,2.0,1,o,i,activatiin,0,10
