Word1,Word2,errortype,Is_Error,Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
nunitsoec,munitsoec,MonoPrefix2,1,unintosec,ppr,un,in,tosec,,,9,nunitsoec,nu,ni,tsoec,,,inintosec,unimtosec,unintoseg,,,0.0,1.0,4,,,munitsoec,nunetsoec,nunithoec,,,0.0,1.0,1,,
guh,guc,Root,1,guh,r,,,guh,,,3,ghu,,,ghu,,,,,guc,,,,,2,,,,,khu,,,,,0,,
tecosoni,tecosonu,MonoSuffix1,1,tosecion,rs,,,tosec,ion,,8,tecosoni,,,tecos,oni,,,,tusecion,toseciun,,,,1,1.0,,,,tocosoni,tecosonu,,,,1,2.0,
eprhgu,epmhgu,MonoPrefix1,1,preguh,pr,,pre,guh,,,6,eprhgu,,epr,hgu,,,,pmeguh,pregih,,,,1.0,1,,,,epmhgu,eprhsu,,,,2.0,1,,
demamcable,damamcable,Prefix1,1,demamcable,prs,,de,mamc,able,,10,edcmamaebl,,ed,cmam,aebl,,,damamcable,demamkable,demamcabla,,,1.0,3,3.0,,,egcmamaebl,edbmamaebl,edcmamaabl,,,1.0,0,1.0,
mihion,mihion,NoErrorPoly,0,mihion,rs,,,mih,ion,,6,imhnoi,,,imh,noi,,,,mipion,miheon,,,,2,0.0,,,,iwhnoi,imhnai,,,,1,1.0,
rpeedpoo,rpeedpoo,NoErrorMono,0,predeopo,ppr,pre,de,opo,,,8,rpeedpoo,rpe,ed,poo,,,prideopo,predoopo,predeope,,,2.0,1.0,2,,,mpeedpoo,rpeidpoo,rpeedpeo,,,0.0,0.0,1,,
nitcaeblea,nutcaeblea,MonoPrefix1,1,inetacable,prs,,in,etac,able,,10,nitcaeblea,,ni,tcae,blea,,,enetacable,inetapable,inetacaple,,,0.0,3,1.0,,,nutcaeblea,nitceeblea,nitcaebloa,,,1.0,2,2.0,
tusoable,tusoable,NoErrorPoly,0,tusoable,rs,,,tuso,able,,8,outsbael,,,outs,bael,,,,tusiable,tusoablo,,,,3,3.0,,,,outcbael,outsboel,,,,3,1.0,
mamcion,momcion,Root,1,mamcion,rs,,,mamc,ion,,7,mmcaino,,,mmca,ino,,,,momcion,mamcior,,,,1,2.0,,,,mrcaino,mmcaiyo,,,,1,1.0,
untusoful,untusobul,Suffix1,1,untusoful,prs,,un,tuso,ful,,9,nutosuflu,,nu,tosu,flu,,,antusoful,untuboful,untusobul,,,0.0,2,0.0,,,mutosuflu,nutotuflu,nutosuplu,,,0.0,2,0.0,
oustebla,oustebla,NoErrorMono,0,tusoable,rs,,,tuso,able,,8,oustebla,,,oust,ebla,,,,husoable,tusoabli,,,,0,3.0,,,,outtebla,oustebma,,,,2,2.0,
undeiwf,undoiwf,Prefix1,1,undeiwf,ppr,un,de,iwf,,,7,nuedwif,nu,ed,wif,,,uydeiwf,undoiwf,undeinf,,,1.0,1.0,1,,,ruedwif,nuepwif,nuedwef,,,0.0,1.0,1,,
edifwelba,udifwelba,MonoPrefix1,1,deiwfable,prs,,de,iwf,able,,9,edifwelba,,ed,ifw,elba,,,daiwfable,deiwhable,deiwfabla,,,1.0,2,3.0,,,udifwelba,edofwelba,edifwenba,,,0.0,0,1.0,
demamc,cemamc,Prefix1,1,demamc,pr,,de,mamc,,,6,edcmma,,ed,cmma,,,,cemamc,dememc,,,,0.0,1,,,,etcmma,edsmma,,,,1.0,0,,
nirepfwi,nirehfwi,MonoPrefix1,1,inpreiwf,ppr,in,pre,iwf,,,8,nirepfwi,ni,rep,fwi,,,impreiwf,inpraiwf,inpreewf,,,1.0,2.0,0,,,lirepfwi,nirehfwi,nirepfwa,,,0.0,2.0,2,,
intosec,intosec,NoErrorPoly,0,intosec,pr,,in,tosec,,,7,nieotcs,,ni,eotcs,,,,iytosec,intoset,,,,1.0,4,,,,mieotcs,nieohcs,,,,0.0,2,,
edosutinore,edosuhinore,MonoRoot,1,detusoioner,prss,,de,tuso,ion,er,11,edosutinore,,ed,osut,ino,re,,cetusoioner,detugoioner,detusoiener,detusoionar,,0.0,2,1.0,0.0,,etosutinore,edosuhinore,edosutimore,edosutinone,,1.0,3,1.0,0.0
inguhfulable,inguhfulable,NoErrorPoly,0,inguhfulable,prss,,in,guh,ful,able,12,niuhglufealb,,ni,uhg,luf,ealb,,iyguhfulable,ingohfulable,inguhfumable,inguhfuleble,,1.0,1,2.0,0.0,,nauhglufealb,niahglufealb,niuhglefealb,niuhglufearb,,1.0,0,1.0,2.0
