first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
remisdetrew,remisdetrew,pppr,ppp,,trew,re_mis_de,,remisdetrew,target,p,0.0,1,e,i,rimisdetrew,0
underesish,underesish,pprs,pp,s,res,un_de,ish,underesish,target,p,1.0,1,e,u,unduresish,0
chanalableness,chanamableness,rsss,,sss,chan,,al_able_ness,chanalableness,target,s,0.0,1,l,m,chanamableness,1
edmruzerussel,idmruzerussel,prss,p,ss,mruz,ed,eru_ssel,edmruzerussel,control,p,0.0,0,e,i,idmruzerussel,1
nuednoflhsi,nuednoflhsi,pprs,pp,s,nofl,nu_ed,hsi,nuednoflhsi,control,s,0.0,0,h,t,nuednofltsi,0
nuedfol,nuedfol,ppr,pp,,fol,nu_ed,,nuedfol,control,r,,2,l,m,nuedfom,0
remisdebras,remisdebras,pppr,ppp,,bras,re_mis_de,,remisdebras,target,r,,0,b,v,remisdevras,0
simkob,simkab,pr,p,,kob,sim,,simkob,control,r,,1,o,a,simkab,1
redisclat,redasclat,ppr,pp,,clat,re_dis,,redisclat,target,p,1.0,1,i,a,redasclat,1
danpihssselssen,danpihssselssen,rsss,,sss,dan,,pihs_ssel_ssen,danpihssselssen,control,r,,2,n,m,dampihssselssen,0
brayylssen,bralylssen,rss,,ss,bray,,yl_ssen,brayylssen,control,r,,3,y,l,bralylssen,1
ersiddob,elsiddob,ppr,pp,,dob,er_sid,,ersiddob,control,p,0.0,1,r,l,elsiddob,1
neezly,neizly,rs,,s,neez,,ly,neezly,target,r,,2,e,i,neizly,1
preflonment,preflonment,prs,p,s,flon,pre,ment,preflonment,target,r,,2,o,e,preflenment,0
redisvolker,redipvolker,pprs,pp,s,volk,re_dis,er,redisvolker,target,p,1.0,2,s,p,redipvolker,1
innader,innader,prs,p,s,nad,in,er,innader,target,s,0.0,1,r,n,innaden,0
nuedniem,nuecniem,ppr,pp,,niem,nu_ed,,nuedniem,control,p,1.0,1,d,c,nuecniem,1
resly,resly,rs,,s,res,,ly,resly,target,s,0.0,0,l,m,resmy,0
unres,unros,pr,p,,res,un,,unres,target,r,,1,e,o,unros,1
involkise,iyvolkise,prs,p,s,volk,in,ise,involkise,target,p,0.0,1,n,y,iyvolkise,1
remisdekam,remisdekam,pppr,ppp,,kam,re_mis_de,,remisdekam,target,r,,0,k,g,remisdegam,0
volkfully,volkfolly,rss,,ss,volk,,ful_ly,volkfully,target,s,0.0,1,u,o,volkfolly,1
simbray,sirbray,pr,p,,bray,sim,,simbray,control,p,0.0,2,m,r,sirbray,1
nuserllufre,nusemllufre,prss,p,ss,ser,nu,lluf_re,nuserllufre,control,r,,2,r,m,nusemllufre,1
unmon,unmon,pr,p,,mon,un,,unmon,target,p,0.0,0,u,e,enmon,0
nuedwrog,nuedwrog,ppr,pp,,wrog,nu_ed,,nuedwrog,control,p,1.0,1,d,t,nuetwrog,0
ersimedmew,elsimedmew,pppr,ppp,,mew,er_sim_ed,,ersimedmew,control,p,0.0,1,r,l,elsimedmew,1
mruzevissen,mruzevissen,rss,,ss,mruz,,evi_ssen,mruzevissen,control,r,,1,r,n,mnuzevissen,0
edbuatyfi,evbuatyfi,prs,p,s,buat,ed,yfi,edbuatyfi,control,p,0.0,1,d,v,evbuatyfi,1
keiriveness,keiriveness,rss,,ss,keir,,ive_ness,keiriveness,target,r,,1,e,i,kiiriveness,0
wrogcilayl,wroscilayl,rsss,,sss,wrog,,ci_la_yl,wrogcilayl,control,r,,3,g,s,wroscilayl,1
remisdezurm,rumisdezurm,pppr,ppp,,zurm,re_mis_de,,remisdezurm,target,p,0.0,1,e,u,rumisdezurm,1
inber,inber,pr,p,,ber,in,,inber,target,r,,1,e,a,inbar,0
niyawiesi,niyariesi,prs,p,s,yawi,ni,esi,niyawiesi,control,r,,2,w,r,niyariesi,1
tokyr,tokyr,rs,,s,tok,,yr,tokyr,control,r,,0,t,s,sokyr,0
nirebllufre,niredllufre,prss,p,ss,reb,ni,lluf_re,nirebllufre,control,r,,2,b,d,niredllufre,1
undegertation,undegertation,pprs,pp,s,gert,un_de,ation,undegertation,target,p,0.0,1,n,m,umdegertation,0
nuedklovnai,nuedklovnau,pprs,pp,s,klov,nu_ed,nai,nuedklovnai,control,s,0.0,2,i,u,nuedklovnau,1
redisyat,retisyat,ppr,pp,,yat,re_dis,,redisyat,target,p,1.0,0,d,t,retisyat,1
erebsegelba,erebsegelba,pprs,pp,s,seg,er_eb,elba,erebsegelba,control,p,0.0,0,e,o,orebsegelba,0
ersimednurd,ersimednard,pppr,ppp,,nurd,er_sim_ed,,ersimednurd,control,r,,1,u,a,ersimednard,1
delim,dolim,pr,p,,lim,de,,delim,target,p,0.0,1,e,o,dolim,1
ersidsal,ersidsal,ppr,pp,,sal,er_sid,,ersidsal,control,p,0.0,0,e,a,arsidsal,0
meinry,meinrw,rs,,s,mein,,ry,meinry,target,s,0.0,1,y,w,meinrw,1
nunofl,nunofl,pr,p,,nofl,nu,,nunofl,control,p,0.0,0,n,r,runofl,0
ersimedmak,ersimedmak,pppr,ppp,,mak,er_sim_ed,,ersimedmak,control,r,,2,k,h,ersimedmah,0
nueddan,noeddan,ppr,pp,,dan,nu_ed,,nueddan,control,p,0.0,1,u,o,noeddan,1
undeleyive,undeleyiva,pprs,pp,s,ley,un_de,ive,undeleyive,target,s,0.0,2,e,a,undeleyiva,1
remisdekeir,rerisdekeir,pppr,ppp,,keir,re_mis_de,,remisdekeir,target,p,1.0,0,m,r,rerisdekeir,1
nahcerussel,nehcerussel,rss,,ss,nahc,,eru_ssel,nahcerussel,control,r,,1,a,e,nehcerussel,1
rebelarbation,rebelarbation,pprs,pp,s,larb,re_be,ation,rebelarbation,target,s,0.0,2,i,o,rebelarbatoon,0
rebezucable,rebezucable,pprs,pp,s,zuc,re_be,able,rebezucable,target,s,0.0,3,e,a,rebezucabla,0
nuednahc,nuednahc,ppr,pp,,nahc,nu_ed,,nuednahc,control,p,1.0,0,e,i,nuidnahc,0
undebokish,undebokish,pprs,pp,s,bok,un_de,ish,undebokish,target,p,0.0,0,u,i,indebokish,0
talceru,talceru,rs,,s,talc,,eru,talceru,control,r,,1,a,u,tulceru,0
trup,trup,r,,,trup,,,trup,target,r,,0,t,p,prup,0
rebelan,rebelan,ppr,pp,,lan,re_be,,rebelan,target,r,,1,a,e,rebelen,0
niwertyfi,nuwertyfi,prs,p,s,wert,ni,yfi,niwertyfi,control,p,0.0,1,i,u,nuwertyfi,1
niyel,niyel,pr,p,,yel,ni,,niyel,control,p,0.0,1,i,a,nayel,0
debukness,debubness,prs,p,s,buk,de,ness,debukness,target,r,,2,k,b,debubness,1
nuedmilyfi,nuedmiryfi,pprs,pp,s,mil,nu_ed,yfi,nuedmilyfi,control,r,,2,l,r,nuedmiryfi,1
trupicfulness,trucicfulness,rsss,,sss,trup,,ic_ful_ness,trupicfulness,target,r,,3,p,c,trucicfulness,1
praclaelbassen,preclaelbassen,rsss,,sss,prac,,la_elba_ssen,praclaelbassen,control,r,,2,a,e,preclaelbassen,1
ersimedser,ersimedser,pppr,ppp,,ser,er_sim_ed,,ersimedser,control,p,0.0,0,e,o,orsimedser,0
niemeci,niemeci,rs,,s,niem,,eci,niemeci,control,r,,0,n,r,riemeci,0
ersidwrog,ersidwmog,ppr,pp,,wrog,er_sid,,ersidwrog,control,r,,1,r,m,ersidwmog,1
welation,wewation,rs,,s,wel,,ation,welation,target,r,,2,l,w,wewation,1
rebecarp,rebetarp,ppr,pp,,carp,re_be,,rebecarp,target,r,,0,c,t,rebetarp,1
saleci,saleci,rs,,s,sal,,eci,saleci,control,r,,0,s,h,haleci,0
yawipihssselssen,yamipihssselssen,rsss,,sss,yawi,,pihs_ssel_ssen,yawipihssselssen,control,r,,2,w,m,yamipihssselssen,1
nubuat,nubeat,pr,p,,buat,nu,,nubuat,control,r,,1,u,e,nubeat,1
niserluf,neserluf,prs,p,s,ser,ni,luf,niserluf,control,p,0.0,1,i,e,neserluf,1
unmoniously,enmoniously,prss,p,ss,mon,un,ious_ly,unmoniously,target,p,0.0,0,u,e,enmoniously,1
limlyness,limlyness,rss,,ss,lim,,ly_ness,limlyness,target,s,1.0,3,s,f,limlynesf,0
reunmiskam,reunmiskam,pppr,ppp,,kam,re_un_mis,,reunmiskam,target,p,0.0,1,e,i,riunmiskam,0
yarbsomeness,yambsomeness,rss,,ss,yarb,,some_ness,yarbsomeness,target,r,,2,r,m,yambsomeness,1
nas,nas,r,,,nas,,,nas,control,r,,1,a,o,nos,0
flonness,flonness,rs,,s,flon,,ness,flonness,target,r,,2,o,u,flunness,0
redisyatish,redisyatish,pprs,pp,s,yat,re_dis,ish,redisyatish,target,r,,1,a,o,redisyotish,0
miswastness,miswassness,prs,p,s,wast,mis,ness,miswastness,target,r,,3,t,s,miswassness,1
misyarbicly,mibyarbicly,prss,p,ss,yarb,mis,ic_ly,misyarbicly,target,p,0.0,2,s,b,mibyarbicly,1
erpbrayelba,erpbrayelba,prs,p,s,bray,erp,elba,erpbrayelba,control,p,0.0,2,p,t,ertbrayelba,0
misgorw,mihgorw,pr,p,,gorw,mis,,misgorw,target,p,0.0,2,s,h,mihgorw,1
nurdhsi,nurdhsi,rs,,s,nurd,,hsi,nurdhsi,control,s,0.0,0,h,f,nurdfsi,0
edlewcila,edlewcila,prss,p,ss,lew,ed,ci_la,edlewcila,control,p,0.0,1,d,t,etlewcila,0
rebeflonable,rebeflolable,pprs,pp,s,flon,re_be,able,rebeflonable,target,r,,3,n,l,rebeflolable,1
bod,bod,r,,,bod,,,bod,target,r,,1,o,a,bad,0
ersimedbral,ersimedbral,pppr,ppp,,bral,er_sim_ed,,ersimedbral,control,r,,2,a,e,ersimedbrel,0
gorwryness,gorwryness,rss,,ss,gorw,,ry_ness,gorwryness,target,s,1.0,0,n,r,gorwryress,0
nimakemosssen,nimakemosssen,prss,p,ss,mak,ni,emos_ssen,nimakemosssen,control,p,0.0,0,n,l,limakemosssen,0
lasiveness,lasiveniss,rss,,ss,las,,ive_ness,lasiveness,target,s,1.0,1,e,i,lasiveniss,1
remisdegolur,remisdegolur,pppr,ppp,,golur,re_mis_de,,remisdegolur,target,p,1.0,2,s,g,remigdegolur,0
erebfol,erebfol,ppr,pp,,fol,er_eb,,erebfol,control,p,1.0,0,e,a,erabfol,0
remisdeges,remisdeges,pppr,ppp,,ges,re_mis_de,,remisdeges,target,r,,0,g,d,remisdedes,0
ersimedser,orsimedser,pppr,ppp,,ser,er_sim_ed,,ersimedser,control,p,0.0,0,e,o,orsimedser,1
edmarpihsssel,edmarpihsssel,prss,p,ss,mar,ed,pihs_ssel,edmarpihsssel,control,s,0.0,1,i,o,edmarpohsssel,0
erebmew,eyebmew,ppr,pp,,mew,er_eb,,erebmew,control,p,0.0,1,r,y,eyebmew,1
kubevissen,kubevissen,rss,,ss,kub,,evi_ssen,kubevissen,control,r,,2,b,t,kutevissen,0
delan,delan,pr,p,,lan,de,,delan,target,r,,1,a,i,delin,0
klovre,klovre,rs,,s,klov,,re,klovre,control,r,,0,k,s,slovre,0
rebre,rebre,rs,,s,reb,,re,rebre,control,s,0.0,0,r,m,rebme,0
erebtokelba,erobtokelba,pprs,pp,s,tok,er_eb,elba,erebtokelba,control,p,1.0,0,e,o,erobtokelba,1
monure,monuwe,rs,,s,mon,,ure,monure,target,s,0.0,1,r,w,monuwe,1
eddob,ehdob,pr,p,,dob,ed,,eddob,control,p,0.0,1,d,h,ehdob,1
erpsegtnem,erpsegtnem,prs,p,s,seg,erp,tnem,erpsegtnem,control,r,,0,s,p,erppegtnem,0
redistaub,redistaub,ppr,pp,,taub,re_dis,,redistaub,target,r,,2,u,e,redistaeb,0
carpicness,carpicness,rss,,ss,carp,,ic_ness,carpicness,target,s,1.0,0,n,l,carpicless,0
goluricful,goluricful,rss,,ss,golur,,ic_ful,goluricful,target,r,,3,u,a,golaricful,0
edwert,edwert,pr,p,,wert,ed,,edwert,control,r,,3,t,s,edwers,0
wert,werh,r,,,wert,,,wert,control,r,,3,t,h,werh,1
undetrup,umdetrup,ppr,pp,,trup,un_de,,undetrup,target,p,0.0,1,n,m,umdetrup,1
undegorwly,undegorwly,pprs,pp,s,gorw,un_de,ly,undegorwly,target,s,0.0,1,y,r,undegorwlr,0
inkot,inkot,pr,p,,kot,in,,inkot,target,r,,2,t,h,inkoh,0
ersidmakhsi,emsidmakhsi,pprs,pp,s,mak,er_sid,hsi,ersidmakhsi,control,p,0.0,1,r,m,emsidmakhsi,1
remisdebod,remisdebod,pppr,ppp,,bod,re_mis_de,,remisdebod,target,r,,0,b,p,remisdepod,0
nutalcsuoiyl,nutalchuoiyl,prss,p,ss,talc,nu,suoi_yl,nutalcsuoiyl,control,s,0.0,0,s,h,nutalchuoiyl,1
yawilaylssen,yawilaylssen,rsss,,sss,yawi,,la_yl_ssen,yawilaylssen,control,s,1.0,1,l,m,yawilaymssen,0
reunmiszuc,reunmiszuc,pppr,ppp,,zuc,re_un_mis,,reunmiszuc,target,r,,2,c,h,reunmiszuh,0
debodsomeness,debocsomeness,prss,p,ss,bod,de,some_ness,debodsomeness,target,r,,2,d,c,debocsomeness,1
ersidkubre,ersidkibre,pprs,pp,s,kub,er_sid,re,ersidkubre,control,r,,1,u,i,ersidkibre,1
undelimful,undelimful,pprs,pp,s,lim,un_de,ful,undelimful,target,p,1.0,0,d,g,ungelimful,0
unberively,unberively,prss,p,ss,ber,un,ive_ly,unberively,target,r,,2,r,n,unbenively,0
nuedtrihssen,nuedtrihsten,pprs,pp,s,trih,nu_ed,ssen,nuedtrihssen,control,s,0.0,1,s,t,nuedtrihsten,1
deyat,deyat,pr,p,,yat,de,,deyat,target,r,,2,t,g,deyag,0
remisdebuk,remesdebuk,pppr,ppp,,buk,re_mis_de,,remisdebuk,target,p,1.0,1,i,e,remesdebuk,1
erebwrog,erebwrog,ppr,pp,,wrog,er_eb,,erebwrog,control,p,1.0,1,b,p,erepwrog,0
inlasify,inlasofy,prs,p,s,las,in,ify,inlasify,target,s,0.0,0,i,o,inlasofy,1
edrulognoi,edrulognoi,prs,p,s,rulog,ed,noi,edrulognoi,control,p,0.0,1,d,h,ehrulognoi,0
millufyl,millufyl,rss,,ss,mil,,luf_yl,millufyl,control,r,,2,l,y,miylufyl,0
golurallyness,golurallyness,rsss,,sss,golur,,al_ly_ness,golurallyness,target,r,,3,u,i,golirallyness,0
nutriheviyl,nutriheviyl,prss,p,ss,trih,nu,evi_yl,nutriheviyl,control,r,,1,r,y,nutyiheviyl,0
riekpihssselssen,miekpihssselssen,rsss,,sss,riek,,pihs_ssel_ssen,riekpihssselssen,control,r,,0,r,m,miekpihssselssen,1
bralevissen,bralevissen,rss,,ss,bral,,evi_ssen,bralevissen,control,s,0.0,1,v,d,braledissen,0
ersimedmil,ersumedmil,pppr,ppp,,mil,er_sim_ed,,ersimedmil,control,p,1.0,1,i,u,ersumedmil,1
buatcissen,buatcassen,rss,,ss,buat,,ci_ssen,buatcissen,control,s,0.0,1,i,a,buatcassen,1
dewel,dewew,pr,p,,wel,de,,dewel,target,r,,2,l,w,dewew,1
ramicly,ramicly,rss,,ss,ram,,ic_ly,ramicly,target,r,,1,a,o,romicly,0
drunise,hrunise,rs,,s,drun,,ise,drunise,target,r,,0,d,h,hrunise,1
rebevolker,yebevolker,pprs,pp,s,volk,re_be,er,rebevolker,target,p,0.0,0,r,y,yebevolker,1
ersimedbral,ersimedbral,pppr,ppp,,bral,er_sim_ed,,ersimedbral,control,r,,1,r,l,ersimedblal,0
iwayshiplessness,iwarshiplessness,rsss,,sss,iway,,ship_less_ness,iwayshiplessness,target,r,,3,y,r,iwarshiplessness,1
follaelba,fomlaelba,rss,,ss,fol,,la_elba,follaelba,control,r,,2,l,m,fomlaelba,1
ersidtayhsi,ersidtayhsi,pprs,pp,s,tay,er_sid,hsi,ersidtayhsi,control,p,1.0,2,d,s,ersistayhsi,0
bralre,bralru,rs,,s,bral,,re,bralre,control,s,0.0,1,e,u,bralru,1
nubraycila,nubwaycila,prss,p,ss,bray,nu,ci_la,nubraycila,control,r,,1,r,w,nubwaycila,1
nucelba,nucemba,rs,,s,nuc,,elba,nucelba,control,s,0.0,1,l,m,nucemba,1
praceviyl,praceviyl,rss,,ss,prac,,evi_yl,praceviyl,control,s,1.0,0,y,n,pracevinl,0
erppracnoita,erppracnoita,prs,p,s,prac,erp,noita,erppracnoita,control,r,,2,a,u,erpprucnoita,0
dobciluf,dobcilof,rss,,ss,dob,,ci_luf,dobciluf,control,s,1.0,1,u,o,dobcilof,1
sanicfulness,sanicfelness,rsss,,sss,san,,ic_ful_ness,sanicfulness,target,s,1.0,1,u,e,sanicfelness,1
undeglocness,undeglocnuss,pprs,pp,s,gloc,un_de,ness,undeglocness,target,s,0.0,1,e,u,undeglocnuss,1
trupation,trupadion,rs,,s,trup,,ation,trupation,target,s,0.0,1,t,d,trupadion,1
demein,demein,pr,p,,mein,de,,demein,target,r,,3,n,l,demeil,0
dedrun,dedrun,pr,p,,drun,de,,dedrun,target,p,0.0,1,e,u,dudrun,0
unketish,uwketish,prs,p,s,ket,un,ish,unketish,target,p,0.0,1,n,w,uwketish,1
undedrunify,undedrunizy,pprs,pp,s,drun,un_de,ify,undedrunify,target,s,0.0,1,f,z,undedrunizy,1
simzeen,simzeey,pr,p,,zeen,sim,,simzeen,control,r,,3,n,y,simzeey,1
undefen,undefen,ppr,pp,,fen,un_de,,undefen,target,r,,1,e,a,undefan,0
redisflonish,redisflonesh,pprs,pp,s,flon,re_dis,ish,redisflonish,target,s,0.0,0,i,e,redisflonesh,1
deheedical,deheedicar,prss,p,ss,heed,de,ic_al,deheedical,target,s,1.0,1,l,r,deheedicar,1
nuedzeen,nuedzeon,ppr,pp,,zeen,nu_ed,,nuedzeen,control,r,,2,e,o,nuedzeon,1
remisdesan,remisdesam,pppr,ppp,,san,re_mis_de,,remisdesan,target,r,,2,n,m,remisdesam,1
deheedureless,dehaedureless,prss,p,ss,heed,de,ure_less,deheedureless,target,r,,1,e,a,dehaedureless,1
nubuatyl,nubuatyl,prs,p,s,buat,nu,yl,nubuatyl,control,p,0.0,1,u,i,nibuatyl,0
remisdemein,remisdelein,pppr,ppp,,mein,re_mis_de,,remisdemein,target,r,,0,m,l,remisdelein,1
delimness,delamness,prs,p,s,lim,de,ness,delimness,target,r,,1,i,a,delamness,1
