first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nucssenyl,nucssinyl,rss,,ss,nuc,[''],"['ssen', 'yl']",nucssenyl,control,s,0.0,2,e,i,nucssinyl,1
deketnessly,deketnessly,prss,p,ss,ket,['de'],"['ness', 'ly']",deketnessly,target,p,0.0,0,d,t,teketnessly,0
inramlyfull,inramlyfull,prss,p,ss,ram,['in'],"['ly', 'full']",inramlyfull,target,p,0.0,0,i,e,enramlyfull,0
tekyllluf,tekyllluf,rss,,ss,tek,[''],"['yl', 'lluf']",tekyllluf,control,s,0.0,0,y,r,tekrllluf,0
delan,delan,pr,p,,lan,['de'],[''],delan,target,p,0.0,0,d,p,pelan,0
undelan,undelan,ppr,pp,,lan,"['un', 'de']",[''],undelan,target,r,,1,a,e,undelen,0
lan,lan,r,,,lan,[''],[''],lan,target,r,,2,n,w,law,0
decuner,pecuner,prs,p,s,cun,['de'],['er'],decuner,target,p,0.0,0,d,p,pecuner,1
rediskam,rediskem,ppr,pp,,kam,"['re', 'dis']",[''],rediskam,target,r,,1,a,e,rediskem,1
inramful,inramful,prs,p,s,ram,['in'],['ful'],inramful,target,p,0.0,1,n,m,imramful,0
nunuc,nunuc,pr,p,,nuc,['nu'],[''],nunuc,control,r,,0,n,m,numuc,0
redisris,medisris,ppr,pp,,ris,"['re', 'dis']",[''],redisris,target,p,0.0,0,r,m,medisris,1
nunuc,munuc,pr,p,,nuc,['nu'],[''],nunuc,control,p,0.0,0,n,m,munuc,1
inlanlyfull,inlanlyfull,prss,p,ss,lan,['in'],"['ly', 'full']",inlanlyfull,target,r,,1,a,e,inlenlyfull,0
erebnuc,erebnuc,ppr,pp,,nuc,"['er', 'eb']",[''],erebnuc,control,r,,2,c,t,erebnut,0
preramful,preramful,prs,p,s,ram,['pre'],['ful'],preramful,target,r,,2,m,r,prerarful,0
nalre,nalle,rs,,s,nal,[''],['re'],nalre,control,s,0.0,0,r,l,nalle,1
inkam,inkam,pr,p,,kam,['in'],[''],inkam,target,p,0.0,1,n,l,ilkam,0
mon,mon,r,,,mon,[''],[''],mon,target,r,,1,o,a,man,0
makrelluf,makrelluf,rss,,ss,mak,[''],"['re', 'lluf']",makrelluf,control,s,0.0,1,e,i,makrilluf,0
infen,infen,pr,p,,fen,['in'],[''],infen,target,p,0.0,0,i,e,enfen,0
