first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
bukful,bukfal,rs,,s,buk,,ful,bukful,target,s,0.0,1,u,a,bukfal,1
ersidnoflre,ersidnoflre,pprs,pp,s,nofl,er_sid,re,ersidnoflre,control,r,,0,n,r,ersidroflre,0
bod,bod,r,,,bod,,,bod,target,r,,1,o,a,bad,0
ersimednofl,ersimedrofl,pppr,ppp,,nofl,er_sim_ed,,ersimednofl,control,r,,0,n,r,ersimedrofl,1
nurdelba,nurdelba,rs,,s,nurd,,elba,nurdelba,control,s,0.0,1,l,r,nurderba,0
delasfully,dolasfully,prss,p,ss,las,de,ful_ly,delasfully,target,p,0.0,1,e,o,dolasfully,1
incunlyness,incunlrness,prss,p,ss,cun,in,ly_ness,incunlyness,target,s,0.0,1,y,r,incunlrness,1
remisdekeir,remisdekeir,pppr,ppp,,keir,re_mis_de,,remisdekeir,target,p,0.0,0,r,m,memisdekeir,0
ersimedbuat,ersimedbuat,pppr,ppp,,buat,er_sim_ed,,ersimedbuat,control,p,2.0,0,e,i,ersimidbuat,0
marlufylssen,mamlufylssen,rsss,,sss,mar,,luf_yl_ssen,marlufylssen,control,r,,2,r,m,mamlufylssen,1
dezurmful,dezurmfil,prs,p,s,zurm,de,ful,dezurmful,target,s,0.0,1,u,i,dezurmfil,1
riekelba,reekelba,rs,,s,riek,,elba,riekelba,control,r,,1,i,e,reekelba,1
pregeser,pregeser,prs,p,s,ges,pre,er,pregeser,target,r,,2,s,g,pregeger,0
eddobluf,esdobluf,prs,p,s,dob,ed,luf,eddobluf,control,p,0.0,1,d,s,esdobluf,1
yat,yat,r,,,yat,,,yat,target,r,,2,t,d,yad,0
undeges,endeges,ppr,pp,,ges,un_de,,undeges,target,p,0.0,0,u,e,endeges,1
wroglufylssen,wroglufylssen,rsss,,sss,wrog,,luf_yl_ssen,wroglufylssen,control,r,,1,r,m,wmoglufylssen,0
erpriekllufre,erpriekllufre,prss,p,ss,riek,erp,lluf_re,erpriekllufre,control,r,,0,r,l,erpliekllufre,0
nuednasnoi,nuednasnoi,pprs,pp,s,nas,nu_ed,noi,nuednasnoi,control,p,0.0,0,n,m,muednasnoi,0
fenion,fenien,rs,,s,fen,,ion,fenion,target,s,0.0,1,o,e,fenien,1
brayelba,brayelba,rs,,s,bray,,elba,brayelba,control,s,0.0,0,e,u,brayulba,0
unloffully,unloffully,prss,p,ss,lof,un,ful_ly,unloffully,target,s,1.0,1,y,r,unloffullr,0
denader,denoder,prs,p,s,nad,de,er,denader,target,r,,1,a,o,denoder,1
druner,drunem,rs,,s,drun,,er,druner,target,s,0.0,1,r,m,drunem,1
derolfuller,cerolfuller,prss,p,ss,rol,de,full_er,derolfuller,target,p,0.0,0,d,c,cerolfuller,1
ersidlewluf,ersidlewluf,pprs,pp,s,lew,er_sid,luf,ersidlewluf,control,p,0.0,1,r,m,emsidlewluf,0
ingolurable,ingelurable,prs,p,s,golur,in,able,ingolurable,target,r,,1,o,e,ingelurable,1
nipurt,mipurt,pr,p,,purt,ni,,nipurt,control,p,0.0,0,n,m,mipurt,1
nomnoi,namnoi,rs,,s,nom,,noi,nomnoi,control,r,,1,o,a,namnoi,1
folluf,volluf,rs,,s,fol,,luf,folluf,control,r,,0,f,v,volluf,1
nuedtokelba,nuehtokelba,pprs,pp,s,tok,nu_ed,elba,nuedtokelba,control,p,1.0,1,d,h,nuehtokelba,1
erprebelba,erprebelba,prs,p,s,reb,erp,elba,erprebelba,control,r,,0,r,y,erpyebelba,0
rebeber,rebeter,ppr,pp,,ber,re_be,,rebeber,target,r,,0,b,t,rebeter,1
nuedrodamre,nuedrodarre,pprs,pp,s,rodam,nu_ed,re,nuedrodamre,control,r,,4,m,r,nuedrodarre,1
erpprac,erpprac,pr,p,,prac,erp,,erpprac,control,r,,2,a,e,erpprec,0
undebrasable,undebracable,pprs,pp,s,bras,un_de,able,undebrasable,target,r,,3,s,c,undebracable,1
erprebre,erprebre,prs,p,s,reb,erp,re,erprebre,control,s,0.0,1,e,a,erprebra,0
nadfully,nadfully,rss,,ss,nad,,ful_ly,nadfully,target,r,,0,n,m,madfully,0
nuedsalelba,nuedsalelpa,pprs,pp,s,sal,nu_ed,elba,nuedsalelba,control,s,0.0,2,b,p,nuedsalelpa,1
nal,nay,r,,,nal,,,nal,control,r,,2,l,y,nay,1
zeenelba,heenelba,rs,,s,zeen,,elba,zeenelba,control,r,,0,z,h,heenelba,1
ersimedbray,ersimedbray,pppr,ppp,,bray,er_sim_ed,,ersimedbray,control,p,0.0,0,e,o,orsimedbray,0
rebechan,rebedhan,ppr,pp,,chan,re_be,,rebechan,target,r,,0,c,d,rebedhan,1
edrulog,edrulog,pr,p,,rulog,ed,,edrulog,control,r,,4,g,t,edrulot,0
inyatlyness,inyatlyness,prss,p,ss,yat,in,ly_ness,inyatlyness,target,r,,2,t,g,inyaglyness,0
unheeder,unheeder,prs,p,s,heed,un,er,unheeder,target,r,,2,e,i,unheider,0
nuednefre,nuednesre,pprs,pp,s,nef,nu_ed,re,nuednefre,control,r,,2,f,s,nuednesre,1
nuednahc,nuednahc,ppr,pp,,nahc,nu_ed,,nuednahc,control,r,,0,n,m,nuedmahc,0
salylssen,samylssen,rss,,ss,sal,,yl_ssen,salylssen,control,r,,2,l,m,samylssen,1
nicuz,nicuz,pr,p,,cuz,ni,,nicuz,control,p,0.0,1,i,u,nucuz,0
erpnahclufyl,erpnahclufyl,prss,p,ss,nahc,erp,luf_yl,erpnahclufyl,control,s,0.0,0,l,r,erpnahcrufyl,0
flonion,fronion,rs,,s,flon,,ion,flonion,target,r,,1,l,r,fronion,1
remisdechan,remisdevhan,pppr,ppp,,chan,re_mis_de,,remisdechan,target,r,,0,c,v,remisdevhan,1
gorwlyness,gorwlyness,rss,,ss,gorw,,ly_ness,gorwlyness,target,r,,3,w,n,gornlyness,0
ersidrodam,orsidrodam,ppr,pp,,rodam,er_sid,,ersidrodam,control,p,0.0,0,e,o,orsidrodam,1
nuedyel,muedyel,ppr,pp,,yel,nu_ed,,nuedyel,control,p,0.0,0,n,m,muedyel,1
cuzlufylssen,fuzlufylssen,rsss,,sss,cuz,,luf_yl_ssen,cuzlufylssen,control,r,,0,c,f,fuzlufylssen,1
nudanllufre,nedanllufre,prss,p,ss,dan,nu,lluf_re,nudanllufre,control,p,0.0,1,u,e,nedanllufre,1
marylssen,marylssen,rss,,ss,mar,,yl_ssen,marylssen,control,r,,0,m,r,rarylssen,0
bodfullyness,bodfullyneds,rsss,,sss,bod,,ful_ly_ness,bodfullyness,target,s,2.0,2,s,d,bodfullyneds,1
erpwroglufyl,erpwroglufyl,prss,p,ss,wrog,erp,luf_yl,erpwroglufyl,control,r,,1,r,n,erpwnoglufyl,0
unzuclyness,unzuclyness,prss,p,ss,zuc,un,ly_ness,unzuclyness,target,s,1.0,3,s,h,unzuclynesh,0
nuedmil,luedmil,ppr,pp,,mil,nu_ed,,nuedmil,control,p,0.0,0,n,l,luedmil,1
nadlyness,nadmyness,rss,,ss,nad,,ly_ness,nadlyness,target,s,0.0,0,l,m,nadmyness,1
edbral,edbral,pr,p,,bral,ed,,edbral,control,r,,2,a,e,edbrel,0
rediswel,rediswel,ppr,pp,,wel,re_dis,,rediswel,target,p,1.0,2,s,h,redihwel,0
wastlyness,wastlyness,rss,,ss,wast,,ly_ness,wastlyness,target,s,1.0,0,n,r,wastlyress,0
kubylssen,kubylssen,rss,,ss,kub,,yl_ssen,kubylssen,control,r,,1,u,a,kabylssen,0
unheed,unheed,pr,p,,heed,un,,unheed,target,r,,1,e,u,unhued,0
nisarbelba,risarbelba,prs,p,s,sarb,ni,elba,nisarbelba,control,p,0.0,0,n,r,risarbelba,1
welable,welable,rs,,s,wel,,able,welable,target,s,0.0,2,l,n,welabne,0
trewfullyness,trewfullyness,rsss,,sss,trew,,ful_ly_ness,trewfullyness,target,r,,2,e,o,trowfullyness,0
nuedmil,nuedmol,ppr,pp,,mil,nu_ed,,nuedmil,control,r,,1,i,o,nuedmol,1
monfuller,monfuller,rss,,ss,mon,,full_er,monfuller,target,s,1.0,1,r,m,monfullem,0
kobluf,kobmuf,rs,,s,kob,,luf,kobluf,control,s,0.0,0,l,m,kobmuf,1
nuedmaknoi,nuedmakroi,pprs,pp,s,mak,nu_ed,noi,nuedmaknoi,control,s,0.0,0,n,r,nuedmakroi,1
inlarbful,inlajbful,prs,p,s,larb,in,ful,inlarbful,target,r,,2,r,j,inlajbful,1
cunfully,cuntully,rss,,ss,cun,,ful_ly,cunfully,target,s,0.0,0,f,t,cuntully,1
unmonlyness,unmorlyness,prss,p,ss,mon,un,ly_ness,unmonlyness,target,r,,2,n,r,unmorlyness,1
ersidtreg,ersidtreg,ppr,pp,,treg,er_sid,,ersidtreg,control,p,1.0,2,d,c,ersictreg,0
nubralre,nubralre,prs,p,s,bral,nu,re,nubralre,control,r,,1,r,m,nubmalre,0
yawilufyl,yawilufyl,rss,,ss,yawi,,luf_yl,yawilufyl,control,s,1.0,1,l,w,yawilufyw,0
rebegloc,rebegroc,ppr,pp,,gloc,re_be,,rebegloc,target,r,,1,l,r,rebegroc,1
nikubluf,wikubluf,prs,p,s,kub,ni,luf,nikubluf,control,p,0.0,0,n,w,wikubluf,1
nuedtregluf,nuedtregluf,pprs,pp,s,treg,nu_ed,luf,nuedtregluf,control,r,,3,g,h,nuedtrehluf,0
predrunfully,predrunfully,prss,p,ss,drun,pre,ful_ly,predrunfully,target,p,0.0,1,r,m,pmedrunfully,0
berfullyness,berfullyness,rsss,,sss,ber,,ful_ly_ness,berfullyness,target,s,1.0,1,y,m,berfullmness,0
welfully,welfully,rss,,ss,wel,,ful_ly,welfully,target,s,0.0,2,l,m,welfumly,0
denadlyness,denadlyness,prss,p,ss,nad,de,ly_ness,denadlyness,target,p,0.0,0,d,s,senadlyness,0
edcolgelba,edcolgelba,prs,p,s,colg,ed,elba,edcolgelba,control,s,0.0,0,e,a,edcolgalba,0
nuedwrog,nuedwrog,ppr,pp,,wrog,nu_ed,,nuedwrog,control,p,0.0,1,u,i,niedwrog,0
nibralylssen,nibrayylssen,prss,p,ss,bral,ni,yl_ssen,nibralylssen,control,r,,3,l,y,nibrayylssen,1
brallufylssen,brallufylssen,rsss,,sss,bral,,luf_yl_ssen,brallufylssen,control,s,2.0,0,s,t,brallufyltsen,0
talcylssen,talcylssen,rss,,ss,talc,,yl_ssen,talcylssen,control,s,0.0,0,y,r,talcrlssen,0
ersimednef,ersimedref,pppr,ppp,,nef,er_sim_ed,,ersimednef,control,r,,0,n,r,ersimedref,1
erpbuat,erpbuet,pr,p,,buat,erp,,erpbuat,control,r,,2,a,e,erpbuet,1
undeleyer,indeleyer,pprs,pp,s,ley,un_de,er,undeleyer,target,p,0.0,0,u,i,indeleyer,1
erebzeenelba,erabzeenelba,pprs,pp,s,zeen,er_eb,elba,erebzeenelba,control,p,1.0,0,e,a,erabzeenelba,1
misfloner,misflonor,prs,p,s,flon,mis,er,misfloner,target,s,0.0,0,e,o,misflonor,1
remisdeiway,remisdeiway,pppr,ppp,,iway,re_mis_de,,remisdeiway,target,r,,2,a,e,remisdeiwey,0
undeheedion,undeheedion,pprs,pp,s,heed,un_de,ion,undeheedion,target,r,,2,e,a,undeheadion,0
ersimedtreg,ersimedtreg,pppr,ppp,,treg,er_sim_ed,,ersimedtreg,control,r,,0,t,d,ersimeddreg,0
numewylssen,nomewylssen,prss,p,ss,mew,nu,yl_ssen,numewylssen,control,p,0.0,1,u,o,nomewylssen,1
meinfully,meinfully,rss,,ss,mein,,ful_ly,meinfully,target,r,,0,m,r,reinfully,0
cuzlufylssen,cuflufylssen,rsss,,sss,cuz,,luf_yl_ssen,cuzlufylssen,control,r,,2,z,f,cuflufylssen,1
nuedsal,nuebsal,ppr,pp,,sal,nu_ed,,nuedsal,control,p,1.0,1,d,b,nuebsal,1
rebezucion,rabezucion,pprs,pp,s,zuc,re_be,ion,rebezucion,target,p,0.0,1,e,a,rabezucion,1
zeenylssen,zeenylssem,rss,,ss,zeen,,yl_ssen,zeenylssen,control,s,1.0,3,n,m,zeenylssem,1
rebezurmer,rebezurmer,pprs,pp,s,zurm,re_be,er,rebezurmer,target,s,0.0,0,e,i,rebezurmir,0
undemadorer,undemadorer,pprs,pp,s,mador,un_de,er,undemadorer,target,s,0.0,1,r,m,undemadorem,0
trewlyness,trewlyness,rss,,ss,trew,,ly_ness,trewlyness,target,s,1.0,0,n,r,trewlyress,0
unhirtlyness,unhirtlyness,prss,p,ss,hirt,un,ly_ness,unhirtlyness,target,r,,3,t,x,unhirxlyness,0
undegertion,undegertion,pprs,pp,s,gert,un_de,ion,undegertion,target,r,,0,g,s,undesertion,0
erebnoflre,erebniflre,pprs,pp,s,nofl,er_eb,re,erebnoflre,control,r,,1,o,i,erebniflre,1
remisdemador,remisdemador,pppr,ppp,,mador,re_mis_de,,remisdemador,target,r,,4,r,n,remisdemadon,0
brayllufre,bnayllufre,rss,,ss,bray,,lluf_re,brayllufre,control,r,,1,r,n,bnayllufre,1
edsarb,odsarb,pr,p,,sarb,ed,,edsarb,control,p,0.0,0,e,o,odsarb,1
niyel,niyal,pr,p,,yel,ni,,niyel,control,r,,1,e,a,niyal,1
limable,lirable,rs,,s,lim,,able,limable,target,r,,2,m,r,lirable,1
nimruzluf,nimmuzluf,prs,p,s,mruz,ni,luf,nimruzluf,control,r,,1,r,m,nimmuzluf,1
unbukfuller,enbukfuller,prss,p,ss,buk,un,full_er,unbukfuller,target,p,0.0,0,u,e,enbukfuller,1
niriekre,niriekri,prs,p,s,riek,ni,re,niriekre,control,s,0.0,1,e,i,niriekri,1
nefllufre,nefllufre,rss,,ss,nef,,lluf_re,nefllufre,control,s,1.0,0,r,m,nefllufme,0
zeenlufylssen,zienlufylssen,rsss,,sss,zeen,,luf_yl_ssen,zeenlufylssen,control,r,,1,e,i,zienlufylssen,1
inbokfuller,enbokfuller,prss,p,ss,bok,in,full_er,inbokfuller,target,p,0.0,0,i,e,enbokfuller,1
ninom,ninom,pr,p,,nom,ni,,ninom,control,p,0.0,0,n,m,minom,0
erebtek,eyebtek,ppr,pp,,tek,er_eb,,erebtek,control,p,0.0,1,r,y,eyebtek,1
redisweler,rediswelem,pprs,pp,s,wel,re_dis,er,redisweler,target,s,0.0,1,r,m,rediswelem,1
hirtfully,hirtfully,rss,,ss,hirt,,ful_ly,hirtfully,target,s,0.0,2,l,m,hirtfumly,0
undegolurable,undegolurable,pprs,pp,s,golur,un_de,able,undegolurable,target,p,1.0,1,e,o,undogolurable,0
undegolur,undegoluy,ppr,pp,,golur,un_de,,undegolur,target,r,,4,r,y,undegoluy,1
zucable,zucable,rs,,s,zuc,,able,zucable,target,s,0.0,0,a,o,zucoble,0
berlyness,berlyness,rss,,ss,ber,,ly_ness,berlyness,target,r,,0,b,d,derlyness,0
undemadorion,undemadorion,pprs,pp,s,mador,un_de,ion,undemadorion,target,p,1.0,0,d,g,ungemadorion,0
rebelim,mebelim,ppr,pp,,lim,re_be,,rebelim,target,p,0.0,0,r,m,mebelim,1
indrun,indrun,pr,p,,drun,in,,indrun,target,p,0.0,0,i,o,ondrun,0
wemfully,wemfully,rss,,ss,wem,,ful_ly,wemfully,target,r,,1,e,a,wamfully,0
danelba,danelba,rs,,s,dan,,elba,danelba,control,r,,1,a,e,denelba,0
unyarb,unyarb,pr,p,,yarb,un,,unyarb,target,r,,0,y,r,unrarb,0
nuednahcluf,nuednahcluf,pprs,pp,s,nahc,nu_ed,luf,nuednahcluf,control,s,0.0,2,f,s,nuednahclus,0
bralylssen,bralylssen,rss,,ss,bral,,yl_ssen,bralylssen,control,r,,2,a,i,brilylssen,0
ersidnomnoi,ersidnomnoi,pprs,pp,s,nom,er_sid,noi,ersidnomnoi,control,s,0.0,2,i,a,ersidnomnoa,0
ersimedtreg,ersimedtreg,pppr,ppp,,treg,er_sim_ed,,ersimedtreg,control,p,0.0,0,e,a,arsimedtreg,0
ernusimnef,ernusimref,pppr,ppp,,nef,er_nu_sim,,ernusimnef,control,r,,0,n,r,ernusimref,1
unwastful,unwastful,prs,p,s,wast,un,ful,unwastful,target,r,,2,s,p,unwaptful,0
ersimednahc,orsimednahc,pppr,ppp,,nahc,er_sim_ed,,ersimednahc,control,p,0.0,0,e,o,orsimednahc,1
carpful,calpful,rs,,s,carp,,ful,carpful,target,r,,2,r,l,calpful,1
remisdeneez,remisdeneez,pppr,ppp,,neez,re_mis_de,,remisdeneez,target,p,0.0,1,e,u,rumisdeneez,0
klovlufyl,klovlufym,rss,,ss,klov,,luf_yl,klovlufyl,control,s,1.0,1,l,m,klovlufym,1
edfolluf,idfolluf,prs,p,s,fol,ed,luf,edfolluf,control,p,0.0,0,e,i,idfolluf,1
yawiylssen,yawiylssen,rss,,ss,yawi,,yl_ssen,yawiylssen,control,r,,2,w,y,yayiylssen,0
niemlufylssen,niimlufylssen,rsss,,sss,niem,,luf_yl_ssen,niemlufylssen,control,r,,2,e,i,niimlufylssen,1
zucfullyness,zutfullyness,rsss,,sss,zuc,,ful_ly_ness,zucfullyness,target,r,,2,c,t,zutfullyness,1
rebeglocable,rebeglotable,pprs,pp,s,gloc,re_be,able,rebeglocable,target,r,,3,c,t,rebeglotable,1
remisdelarb,remisfelarb,pppr,ppp,,larb,re_mis_de,,remisdelarb,target,p,2.0,0,d,f,remisfelarb,1
unber,unbey,pr,p,,ber,un,,unber,target,r,,2,r,y,unbey,1
nutsawylssen,nutsawylssen,prss,p,ss,tsaw,nu,yl_ssen,nutsawylssen,control,r,,1,s,v,nutvawylssen,0
edlewre,edlewre,prs,p,s,lew,ed,re,edlewre,control,r,,1,e,a,edlawre,0
delimer,delimer,prs,p,s,lim,de,er,delimer,target,r,,2,m,r,delirer,0
remisdegolur,remisdegolur,pppr,ppp,,golur,re_mis_de,,remisdegolur,target,r,,2,l,m,remisdegomur,0
doblufyl,diblufyl,rss,,ss,dob,,luf_yl,doblufyl,control,r,,1,o,i,diblufyl,1
erpriekre,erpriekre,prs,p,s,riek,erp,re,erpriekre,control,s,0.0,1,e,i,erpriekri,0
edkubre,edkutre,prs,p,s,kub,ed,re,edkubre,control,r,,2,b,t,edkutre,1
teklufylssen,toklufylssen,rsss,,sss,tek,,luf_yl_ssen,teklufylssen,control,r,,1,e,o,toklufylssen,1
ednalllufre,ednalllufre,prss,p,ss,nal,ed,lluf_re,ednalllufre,control,r,,2,l,r,ednarllufre,0
yarber,yarber,rs,,s,yarb,,er,yarber,target,r,,2,r,n,yanber,0
edrebre,edrebre,prs,p,s,reb,ed,re,edrebre,control,s,0.0,1,e,a,edrebra,0
danluf,danruf,rs,,s,dan,,luf,danluf,control,s,0.0,0,l,r,danruf,1
