Word,Frequency,Root,Prefixes,Suffixes,Condition
rafraîchissement,2.48,frais,"[re,a]","[isse,ment]",pprss
ralentissement,0.34,lent,"[re,a]","[isse,ment]",pprss
décontenancé,0.41,tenir,"[dé,con]","[ance,é]",pprss
désintoxication,1.46,tox,"[dés,in]","[ique,ion]",pprss
rafraîchissant,0.62,frais,"[re,a]","[is,sant]",pprss
