Root,PermutedRoot
teak,keat
keir,riek
ream,mear
taun,naut
soom,moos
geed,deeg
zoul,louz
pook,koop
lien,neil
meer,reem
girt,trig
darf,frad
bels,selb
pont,tonp
clat,talc
jeg,gej
cun,nuc
wis,siw
mor,rom
ram,mar
ket,tek
bod,dob
cet,tec
fom,mof
lon,nol
pras,sarp
krew,werk
trup,purt
gloc,colg
drun,nurd
