Prefix1,Suffix1,Suffix2,Suffix3,Suffix4,PermutedPrefix1,PermutedSuffix1,PermutedSuffix2,PermutedSuffix3,PermutedSuffix4,Example1,Example2
un,at,ion,al,ly,nu,ta,oni,la,yl,unsensationally,unaspirationally
de,at,ion,al,ism,ed,ta,oni,al,sim,desensationalism,deaspirationalism
un,al,ist,ic,ly,nu,ta,sit,ci,yl,unnaturalisticly,unspiritualisticly
de,al,iz,at,ion,ed,la,zi,ta,oni,denationalization,desensualization
un,ist,ic,al,ly,nu,sit,ci,la,yl,unrealistically,unnarcissitically
de,al,iz,at,ion,ed,la,zi,ta,oni,decentralization,depersonalization
