Condition,n_trials
r,2
pr,3
rs,3
prs,3
ppr,3
rss,3
prss,3
pprs,3
rsss,3
prsss,3
pprss,3
prssss,3
rssss,3
pr_long,2
rs_long,2
prs_long,2
r_long,2
