Root,PermutedRoot
zorean,nearoz
jentel,lejent
wondel,lendow
glefen,nefelg
flenit,flient
trilan,tranil
flomak,kaflom
trivin,tirvin
jentor,tonjer
grivon,nirgov
kroten,netork
flenner,nerfeln
trilock,roltick
puloris,losipur
slithon,nithols
jadolin,dojian
trilend,drelint
namptor,moparnt
cardizor,drozirac
pleriez,ziperel
skrupit,tuskrip
