Root,Frequency,Wordlength
Mephistopheles,1047,14
Worcestershire,233,14
Constantinople,45,14
Massachusetts,9617,13
Liechtenstein,302,13
Philadelphia,12400,12
Pennsylvania,11217,12
Transylvania,370,12
Indianapolis,9,12
Connecticut,5036,11
Shakespeare,577,11
Mississippi,339,11
Afghanistan,93,11
Minneapolis,76,11
Washington,2142,10
California,1972,10
