Root,PermutedRoot
spécol,spocél
appour,paurop
gilout,toulig
laufol,lofaum
chévaul,lauvéch
erbail,lebair
cenout,tounec
prolèm,lèrpom
laudin,daunil
chetel,letech
chameud,deucham
boubien,bienoub
tournos,noutros
cairoun,naimour
pulites,letipus
térroul,lourrét
sauvert,trevaus
bieutel,leutieb
kirnout,tokunir
baurtin,nautirb
