Root,PermutedRoot
prév,vérp
crus,surc
blôt,tôlb
klem,melk
tron,nort
com,moc
baf,fab
san,nas
lak,kal
dir,rid
fil,lif
sil,lis
bic,cib
mél,lém
jur,ruj
tart,trat
cort,troc
foir,roif
cert,trec
lans,snal
bour,roub
jaun,nauj
doul,loud
boit,tiob
mièr,rièm
tuél,léut
reim,mier
mait,taim
tais,siat
diot,toid
