Suffix1,PermutedSuffix1,Example1,Example2,Frequency
ment,nemt,abattement,paiement,5042.81
able,albe,vulnérable,acceptable,1042.69
euse,eseu,fameuse,affectueuse,1027.7
aire,arie,stagiaire,alimentaire,853.76
ique,equi,académique,allergique,852.45
iste,eist,chimiste,communiste,322.75
isme,isem,racisme,érotisme,100.85
