Prefix1,Suffix1,Suffix2,Suffix3,PermutedPrefix1,PermutedSuffix1,PermutedSuffix2,PermutedSuffix3,Example1,Example2
re,it,at,ion,er,ti,ta,oin,réhabilitation,
sub,in,at,ion,bus,ni,ta,oin,subordination,
re,is,at,ion,er,si,ta,oin,resocialisation,
in,ité,sim,al,ni,tié,mis,la,infinitésimal,
