Condition,n_trials
r,3
r_long,3
pr,3
pr_long,3
rs,3
rs_long,3
prs,3
prs_long,3
rss,3
rsss,3
rssss,3
prss,3
prsss,3
prssss,3
ppr,3
pprs,3
pprss,3
