Prefix2,Prefix1,Suffix1,Suffix2,PermutedPrefix2,PermutedPrefix1,PermutedSuffix1,PermutedSuffix2,Example1,Example2
im,pré,at,ion,mi,rép,ta,oin,impréparation,
sur,é,at,ion,rus,é,ta,oin,surélévation,
