Suffix1,PermutedSuffix1,Example1,Example2,Frequency
al,la,spatial,terminal,1125.04
el,le,traditionnel,universel,1103.4
if,fi,attentif,captif,409.41
at,ta,pensionat,orphelinat,166.91
er,re,passager,printanier,316.04
in,ni,enfantin,blondin,109.48
té,ét,fierté,légerté,99
at,ta,orphelinat,pensionnat,99
