Suffix1,Suffix2,Suffix3,Suffix4,PermutedSuffix1,PermutedSuffix2,PermutedSuffix3,PermutedSuffix4,Example1,Example2
at,ion,al,isme,ta,oin,la,isem,aspirationalisme,sensationnalisme
al,is,at,ion,la,si,ta,oin,centralisation,personnalisation
